algorithm,hardware_size,logical_qubits,dag_seed,policy,release_mode,issue_width,l_meas,l_ff,meas_width,ff_width,raw_ff_chain_depth,shifted_ff_chain_depth,depth_reduction_pct,raw_throughput,shifted_throughput,throughput_delta,throughput_gain_pct,raw_stall_rate,shifted_stall_rate,stall_rate_delta,stall_reduction_pct,raw_utilization,shifted_utilization,utilization_delta,utilization_gain_pct,raw_saturation_ratio,raw_saturation_bucket,raw_stall_bucket,latency_profile,width_profile,throughput_direction,stall_direction
QAOA,8,64,1,greedy_critical,next_cycle,8,1,2,8,5,127,2,98.425197,4.771154,4.981928,0.210774,4.417673,0.027885,0.327309,0.299424,-1073.781603,0.596394,0.622741,0.026347,4.417717,0.596394,active,stall_low,mixed,W8_M8_F5,improved,worse
QAOA,8,64,1,greedy_critical,next_cycle,8,1,2,8,6,127,2,98.425197,5.632236,5.978313,0.346077,6.144576,0.039728,0.209639,0.169911,-427.685763,0.70403,0.747289,0.043259,6.144482,0.704029,active,stall_low,mixed,W8_M8_F6,improved,worse
QAOA,8,64,1,greedy_critical,next_cycle,8,1,2,8,7,127,2,98.425197,6.410853,6.969101,0.558248,8.707858,0.047804,0.099719,0.051915,-108.599699,0.801357,0.871138,0.069781,8.707854,0.801357,near_saturation,stall_low,mixed,W8_M8_F7,improved,worse
QAOA,8,64,1,stall_aware_shifted,next_cycle,8,1,2,8,4,127,2,98.425197,3.888715,3.988746,0.100031,2.572341,0.027429,0.460611,0.433182,-1579.284699,0.486089,0.498593,0.012504,2.572368,0.486089,underutilized,stall_low,mixed,W8_M8_F4,improved,worse
QAOA,8,64,1,stall_aware_shifted,next_cycle,8,1,2,8,5,127,2,98.425197,4.771154,4.981928,0.210774,4.417673,0.035577,0.326305,0.290728,-817.179639,0.596394,0.622741,0.026347,4.417717,0.596394,active,stall_low,mixed,W8_M8_F5,improved,worse
QAOA,8,64,1,stall_aware_shifted,next_cycle,8,1,2,8,6,127,2,98.425197,5.619479,5.978313,0.358834,6.385539,0.035108,0.195181,0.160073,-455.944514,0.702435,0.747289,0.044854,6.385502,0.702435,active,stall_low,mixed,W8_M8_F6,improved,worse
QAOA,8,64,1,stall_aware_shifted,next_cycle,8,1,2,8,7,127,2,98.425197,6.402581,6.969101,0.56652,8.848307,0.043871,0.066011,0.02214,-50.466139,0.800323,0.871138,0.070815,8.848302,0.800323,near_saturation,stall_low,mixed,W8_M8_F7,improved,worse
QAOA,8,64,1,stall_aware_shifted,next_cycle,8,1,2,8,8,127,2,98.425197,7.657407,7.951923,0.294516,3.846158,0.003086,0.003205,0.000119,-3.856124,0.957176,0.99399,0.036814,3.846106,0.957176,saturated,stall_low,mixed,W8_M8_F8,improved,worse
QAOA,8,64,2,asap,next_cycle,8,1,2,8,4,142,2,98.591549,3.889423,3.988496,0.099073,2.547242,0.02484,0.25226,0.22742,-915.539452,0.486178,0.498562,0.012384,2.547215,0.486178,underutilized,stall_low,mixed,W8_M8_F4,improved,worse
QAOA,8,64,2,asap,next_cycle,8,1,2,8,5,142,2,98.591549,4.73561,4.983573,0.247963,5.236136,0.034146,0.154004,0.119858,-351.016224,0.591951,0.622947,0.030996,5.236244,0.591951,active,stall_low,mixed,W8_M8_F5,improved,worse
QAOA,8,64,2,asap,next_cycle,8,1,2,8,6,142,2,98.591549,5.49095,5.977833,0.486883,8.867008,0.042986,0.115764,0.072778,-169.306286,0.686369,0.747229,0.06086,8.866951,0.686369,active,stall_low,mixed,W8_M8_F6,improved,worse
QAOA,8,64,2,asap,next_cycle,8,1,2,8,7,142,2,98.591549,6.159898,6.964132,0.804234,13.055963,0.057107,0.063128,0.006021,-10.543366,0.769987,0.870516,0.100529,13.055935,0.769987,active,stall_medium,mixed,W8_M8_F7,improved,worse
QAOA,8,64,2,greedy_critical,next_cycle,8,1,2,8,4,142,2,98.591549,3.911362,3.988496,0.077134,1.97205,0.014504,0.453574,0.43907,-3027.233867,0.48892,0.498562,0.009642,1.972102,0.48892,underutilized,stall_low,mixed,W8_M8_F4,improved,worse
QAOA,8,64,2,greedy_critical,next_cycle,8,1,2,8,5,142,2,98.591549,4.786982,4.983573,0.196591,4.106784,0.025641,0.321355,0.295714,-1153.285753,0.598373,0.622947,0.024574,4.106803,0.598373,active,stall_low,mixed,W8_M8_F5,improved,worse
QAOA,8,64,2,greedy_critical,next_cycle,8,1,2,8,6,142,2,98.591549,5.592166,5.977833,0.385667,6.896559,0.032258,0.211823,0.179565,-556.652613,0.699021,0.747229,0.048208,6.896502,0.699021,active,stall_low,mixed,W8_M8_F6,improved,worse
QAOA,8,64,2,greedy_critical,next_cycle,8,1,2,8,7,142,2,98.591549,6.29572,6.964132,0.668412,10.616927,0.050584,0.090387,0.039803,-78.686937,0.786965,0.870516,0.083551,10.616864,0.786965,active,stall_medium,mixed,W8_M8_F7,improved,worse
QAOA,8,64,2,greedy_critical,next_cycle,8,1,2,8,8,142,2,98.591549,7.513932,7.957377,0.443445,5.901637,0.003096,0.003279,0.000183,-5.910853,0.939241,0.994672,0.055431,5.90168,0.939241,near_saturation,stall_low,mixed,W8_M8_F8,improved,worse
QAOA,8,64,2,stall_aware_shifted,next_cycle,8,1,2,8,4,142,2,98.591549,3.911362,3.988496,0.077134,1.97205,0.016922,0.463435,0.446513,-2638.653823,0.48892,0.498562,0.009642,1.972102,0.48892,underutilized,stall_low,mixed,W8_M8_F4,improved,worse
QAOA,8,64,2,stall_aware_shifted,next_cycle,8,1,2,8,5,142,2,98.591549,4.782266,4.983573,0.201307,4.209448,0.023645,0.328542,0.304897,-1289.477691,0.597783,0.622947,0.025164,4.209554,0.597783,active,stall_low,mixed,W8_M8_F5,improved,worse
QAOA,8,64,2,stall_aware_shifted,next_cycle,8,1,2,8,6,142,2,98.591549,5.57931,5.977833,0.398523,7.142873,0.041379,0.197044,0.155665,-376.193238,0.697414,0.747229,0.049815,7.142816,0.697414,active,stall_low,mixed,W8_M8_F6,improved,worse
QAOA,8,64,2,stall_aware_shifted,next_cycle,8,1,2,8,7,142,2,98.591549,6.287565,6.964132,0.676567,10.760398,0.037565,0.067432,0.029867,-79.50752,0.785946,0.870516,0.08457,10.760281,0.785946,active,stall_low,mixed,W8_M8_F7,improved,worse
QAOA,8,64,2,stall_aware_shifted,next_cycle,8,1,2,8,8,142,2,98.591549,7.513932,7.957377,0.443445,5.901637,0.003096,0.003279,0.000183,-5.910853,0.939241,0.994672,0.055431,5.90168,0.939241,near_saturation,stall_low,mixed,W8_M8_F8,improved,worse
QAOA,8,64,3,asap,next_cycle,8,1,2,8,4,148,2,98.648649,3.826291,3.988581,0.16229,4.241444,0.039124,0.251223,0.212099,-542.119926,0.478286,0.498573,0.020287,4.241604,0.478286,underutilized,stall_low,mixed,W8_M8_F4,improved,worse
QAOA,8,64,3,asap,next_cycle,8,1,2,8,5,148,2,98.648649,4.652712,4.984709,0.331997,7.135559,0.043768,0.156983,0.113215,-258.670718,0.581589,0.623089,0.0415,7.135623,0.581589,active,stall_low,mixed,W8_M8_F5,improved,worse
QAOA,8,64,3,asap,next_cycle,8,1,2,8,6,148,2,98.648649,5.385463,5.977995,0.592532,11.002434,0.068282,0.117359,0.049077,-71.873993,0.673183,0.747249,0.074066,11.002357,0.673183,active,stall_medium,mixed,W8_M8_F6,improved,worse
QAOA,8,64,3,greedy_critical,next_cycle,8,1,2,8,4,148,2,98.648649,3.853428,3.988581,0.135153,3.507345,0.027581,0.452692,0.425111,-1541.318299,0.481678,0.498573,0.016895,3.50753,0.481679,underutilized,stall_low,mixed,W8_M8_F4,improved,worse
QAOA,8,64,3,greedy_critical,next_cycle,8,1,2,8,5,148,2,98.648649,4.706449,4.984709,0.27826,5.912313,0.027911,0.32314,0.295229,-1057.751424,0.588306,0.623089,0.034783,5.912399,0.588306,active,stall_low,mixed,W8_M8_F5,improved,worse
QAOA,8,64,3,greedy_critical,next_cycle,8,1,2,8,6,148,2,98.648649,5.494382,5.977995,0.483613,8.801954,0.048315,0.209046,0.160731,-332.673083,0.686798,0.747249,0.060451,8.80186,0.686798,active,stall_low,mixed,W8_M8_F6,improved,worse
QAOA,8,64,3,greedy_critical,next_cycle,8,1,2,8,7,148,2,98.648649,6.182048,6.965812,0.783764,12.678064,0.041719,0.094017,0.052298,-125.357751,0.772756,0.870726,0.09797,12.677999,0.772756,active,stall_low,mixed,W8_M8_F7,improved,worse
