dag_variant,algorithm,policy,latency_profile,width_profile,observation_count,unique_seed_count,throughput_median,stall_rate_median,utilization_median
shifted,QFT,stall_aware_shifted,mixed,W8_M8_F4,10,5,3.965609,0.433638,0.495701
shifted,QFT,stall_aware_shifted,mixed,W8_M8_F5,10,5,4.949179,0.344398,0.618648
shifted,QFT,stall_aware_shifted,mixed,W8_M8_F6,10,5,5.924938,0.221888,0.740617
shifted,QFT,stall_aware_shifted,mixed,W8_M8_F7,10,5,6.927118,0.098909,0.865889
shifted,QFT,stall_aware_shifted,mixed,W8_M8_F8,10,5,7.906067,0.00762,0.988258
shifted,VQE,asap,mixed,W8_M8_F4,15,5,3.963303,0.434251,0.495413
shifted,VQE,asap,mixed,W8_M8_F5,15,5,4.927757,0.311787,0.61597
shifted,VQE,asap,mixed,W8_M8_F6,15,5,5.917808,0.191781,0.739726
shifted,VQE,asap,mixed,W8_M8_F7,15,5,6.857143,0.084656,0.857143
shifted,VQE,asap,mixed,W8_M8_F8,15,5,7.854545,0.012121,0.981818
shifted,VQE,greedy_critical,mixed,W8_M8_F4,15,5,3.963303,0.434251,0.495413
shifted,VQE,greedy_critical,mixed,W8_M8_F5,15,5,4.927757,0.311787,0.61597
shifted,VQE,greedy_critical,mixed,W8_M8_F6,15,5,5.917808,0.191781,0.739726
shifted,VQE,greedy_critical,mixed,W8_M8_F7,15,5,6.857143,0.084656,0.857143
shifted,VQE,greedy_critical,mixed,W8_M8_F8,15,5,7.854545,0.012121,0.981818
shifted,VQE,stall_aware_shifted,mixed,W8_M8_F4,15,5,3.963303,0.498471,0.495413
shifted,VQE,stall_aware_shifted,mixed,W8_M8_F5,15,5,4.927757,0.376426,0.61597
shifted,VQE,stall_aware_shifted,mixed,W8_M8_F6,15,5,5.917808,0.251142,0.739726
shifted,VQE,stall_aware_shifted,mixed,W8_M8_F7,15,5,6.857143,0.132275,0.857143
shifted,VQE,stall_aware_shifted,mixed,W8_M8_F8,15,5,7.854545,0.012121,0.981818
