dag_label,algorithm,hardware_size,logical_qubits,dag_seed,ff_chain_depth_raw,ff_chain_depth_shifted,policy,release_mode,issue_width,l_meas,l_ff,meas_width,ff_width,total_nodes,total_cycles,throughput,stall_cycles,stall_rate,utilization
QAOA_H6_Q36_s0,QAOA,6,36,0,76,2,asap,next_cycle,4,1,2,4,4,1614,460,3.508696,39,0.084783,0.877174
QAOA_H6_Q36_s0,QAOA,6,36,0,76,2,asap,next_cycle,4,1,2,4,8,1614,460,3.508696,39,0.084783,0.877174
QAOA_H6_Q36_s0,QAOA,6,36,0,76,2,asap,next_cycle,4,1,2,8,4,1614,460,3.508696,39,0.084783,0.877174
QAOA_H6_Q36_s0,QAOA,6,36,0,76,2,asap,next_cycle,4,1,2,8,8,1614,460,3.508696,39,0.084783,0.877174
QAOA_H6_Q36_s0,QAOA,6,36,0,76,2,greedy_critical,next_cycle,4,1,2,1,4,1614,1617,0.998145,2,0.001237,0.249536
QAOA_H6_Q36_s0,QAOA,6,36,0,76,2,greedy_critical,next_cycle,4,1,2,1,8,1614,1617,0.998145,2,0.001237,0.249536
QAOA_H6_Q36_s0,QAOA,6,36,0,76,2,greedy_critical,next_cycle,4,1,2,2,4,1614,810,1.992593,2,0.002469,0.498148
QAOA_H6_Q36_s0,QAOA,6,36,0,76,2,greedy_critical,next_cycle,4,1,2,2,8,1614,810,1.992593,2,0.002469,0.498148
QAOA_H6_Q36_s0,QAOA,6,36,0,76,2,greedy_critical,next_cycle,4,1,2,4,4,1614,410,3.936585,2,0.004878,0.984146
QAOA_H6_Q36_s0,QAOA,6,36,0,76,2,greedy_critical,next_cycle,4,1,2,4,8,1614,410,3.936585,2,0.004878,0.984146
QAOA_H6_Q36_s0,QAOA,6,36,0,76,2,greedy_critical,next_cycle,4,1,2,8,4,1614,410,3.936585,2,0.004878,0.984146
QAOA_H6_Q36_s0,QAOA,6,36,0,76,2,greedy_critical,next_cycle,4,1,2,8,8,1614,410,3.936585,2,0.004878,0.984146
QAOA_H6_Q36_s0,QAOA,6,36,0,76,2,asap,next_cycle,8,1,2,1,4,1614,1622,0.995068,7,0.004316,0.124383
QAOA_H6_Q36_s0,QAOA,6,36,0,76,2,asap,next_cycle,8,1,2,1,8,1614,1622,0.995068,7,0.004316,0.124383
QAOA_H6_Q36_s0,QAOA,6,36,0,76,2,asap,next_cycle,8,1,2,2,4,1614,833,1.937575,19,0.022809,0.242197
QAOA_H6_Q36_s0,QAOA,6,36,0,76,2,asap,next_cycle,8,1,2,2,8,1614,833,1.937575,19,0.022809,0.242197
QAOA_H6_Q36_s0,QAOA,6,36,0,76,2,asap,next_cycle,8,1,2,4,4,1614,460,3.508696,39,0.084783,0.438587
QAOA_H6_Q36_s0,QAOA,6,36,0,76,2,asap,next_cycle,8,1,2,4,8,1614,460,3.508696,39,0.084783,0.438587
QAOA_H6_Q36_s0,QAOA,6,36,0,76,2,asap,next_cycle,8,1,2,8,4,1614,461,3.501085,49,0.106291,0.437636
QAOA_H6_Q36_s0,QAOA,6,36,0,76,2,asap,next_cycle,8,1,2,8,8,1614,321,5.028037,63,0.196262,0.628505
QAOA_H6_Q36_s0,QAOA,6,36,0,76,2,greedy_critical,next_cycle,8,1,2,1,4,1614,1617,0.998145,2,0.001237,0.124768
QAOA_H6_Q36_s0,QAOA,6,36,0,76,2,greedy_critical,next_cycle,8,1,2,1,8,1614,1617,0.998145,2,0.001237,0.124768
QAOA_H6_Q36_s0,QAOA,6,36,0,76,2,greedy_critical,next_cycle,8,1,2,2,4,1614,810,1.992593,2,0.002469,0.249074
