algorithm,hardware_size,logical_qubits,dag_seed,dag_label,issue_width,meas_width,ff_width,l_meas,l_ff,f_over_w,total_cycles_asap,total_cycles_ff_rate_matched,cycles_ratio_ff_over_asap,throughput_asap,throughput_ff_rate_matched,throughput_gain_pct,stall_rate_asap,stall_rate_ff_rate_matched,stall_rate_delta
QAOA,10,100,4,QAOA_H10_Q100_s4_shifted,16,8,2,1,2,0.125000,5976,5976,1.000000,1.998996,1.998996,0.000000,0.563253,0.000837,-0.562416
QAOA,10,100,4,QAOA_H10_Q100_s4_shifted,16,8,3,1,2,0.187500,3985,3985,1.000000,2.997742,2.997742,0.000000,0.396989,0.000753,-0.396236
QAOA,10,100,4,QAOA_H10_Q100_s4_shifted,16,8,4,1,2,0.250000,2990,2990,1.000000,3.995318,3.995318,0.000000,0.26388,0.001003,-0.262877
QAOA,10,100,4,QAOA_H10_Q100_s4_shifted,4,16,2,1,2,0.500000,5976,5976,1.000000,1.998996,1.998996,0.000000,0.393742,0.000502,-0.393240
QAOA,10,100,4,QAOA_H10_Q100_s4_shifted,4,16,3,1,2,0.750000,3985,3985,1.000000,2.997742,2.997742,0.000000,0.185445,0.000502,-0.184943
QAOA,10,100,4,QAOA_H10_Q100_s4_shifted,4,16,4,1,2,1.000000,2990,2990,1.000000,3.995318,3.995318,0.000000,0.000669,0.000669,0.000000
QAOA,10,100,4,QAOA_H10_Q100_s4_shifted,4,4,2,1,2,0.500000,5976,5976,1.000000,1.998996,1.998996,0.000000,0.393742,0.000502,-0.393240
QAOA,10,100,4,QAOA_H10_Q100_s4_shifted,4,4,3,1,2,0.750000,3985,3985,1.000000,2.997742,2.997742,0.000000,0.185445,0.000502,-0.184943
QAOA,10,100,4,QAOA_H10_Q100_s4_shifted,4,4,4,1,2,1.000000,2990,2990,1.000000,3.995318,3.995318,0.000000,0.000669,0.000669,0.000000
QAOA,10,100,4,QAOA_H10_Q100_s4_shifted,4,8,2,1,2,0.500000,5976,5976,1.000000,1.998996,1.998996,0.000000,0.393742,0.000502,-0.393240
QAOA,10,100,4,QAOA_H10_Q100_s4_shifted,4,8,3,1,2,0.750000,3985,3985,1.000000,2.997742,2.997742,0.000000,0.185445,0.000502,-0.184943
QAOA,10,100,4,QAOA_H10_Q100_s4_shifted,4,8,4,1,2,1.000000,2990,2990,1.000000,3.995318,3.995318,0.000000,0.000669,0.000669,0.000000
QAOA,10,100,4,QAOA_H10_Q100_s4_shifted,8,16,2,1,2,0.250000,5976,5976,1.000000,1.998996,1.998996,0.000000,0.563253,0.000837,-0.562416
QAOA,10,100,4,QAOA_H10_Q100_s4_shifted,8,16,3,1,2,0.375000,3985,3985,1.000000,2.997742,2.997742,0.000000,0.396989,0.000753,-0.396236
QAOA,10,100,4,QAOA_H10_Q100_s4_shifted,8,16,4,1,2,0.500000,2990,2990,1.000000,3.995318,3.995318,0.000000,0.26388,0.001003,-0.262877
QAOA,10,100,4,QAOA_H10_Q100_s4_shifted,8,4,2,1,2,0.250000,5976,5976,1.000000,1.998996,1.998996,0.000000,0.393742,0.000502,-0.393240
QAOA,10,100,4,QAOA_H10_Q100_s4_shifted,8,4,3,1,2,0.375000,3985,3985,1.000000,2.997742,2.997742,0.000000,0.185445,0.000502,-0.184943
QAOA,10,100,4,QAOA_H10_Q100_s4_shifted,8,4,4,1,2,0.500000,2990,2990,1.000000,3.995318,3.995318,0.000000,0.000669,0.000669,0.000000
QAOA,10,100,4,QAOA_H10_Q100_s4_shifted,8,8,2,1,2,0.250000,5976,5976,1.000000,1.998996,1.998996,0.000000,0.563253,0.000837,-0.562416
QAOA,10,100,4,QAOA_H10_Q100_s4_shifted,8,8,3,1,2,0.375000,3985,3985,1.000000,2.997742,2.997742,0.000000,0.396989,0.000753,-0.396236
QAOA,10,100,4,QAOA_H10_Q100_s4_shifted,8,8,4,1,2,0.500000,2990,2990,1.000000,3.995318,3.995318,0.000000,0.26388,0.001003,-0.262877
QAOA,10,36,0,QAOA_H10_Q36_s0_shifted,16,16,2,1,2,0.125000,810,810,1.000000,1.992593,1.992593,0.000000,0.604938,0.011111,-0.593827
QAOA,10,36,0,QAOA_H10_Q36_s0_shifted,16,16,3,1,2,0.187500,541,541,1.000000,2.983364,2.983364,0.000000,0.460259,0.011091,-0.449168
QAOA,10,36,0,QAOA_H10_Q36_s0_shifted,16,16,4,1,2,0.250000,407,407,1.000000,3.965602,3.965602,0.000000,0.324324,0.012285,-0.312039
QAOA,10,36,0,QAOA_H10_Q36_s0_shifted,16,4,2,1,2,0.125000,810,810,1.000000,1.992593,1.992593,0.000000,0.366667,0.003704,-0.362963
QAOA,10,36,0,QAOA_H10_Q36_s0_shifted,16,4,3,1,2,0.187500,541,541,1.000000,2.983364,2.983364,0.000000,0.157116,0.003697,-0.153419
QAOA,10,36,0,QAOA_H10_Q36_s0_shifted,16,4,4,1,2,0.250000,407,407,1.000000,3.965602,3.965602,0.000000,0.004914,0.004914,0.000000
QAOA,10,36,0,QAOA_H10_Q36_s0_shifted,16,8,2,1,2,0.125000,810,810,1.000000,1.992593,1.992593,0.000000,0.52716,0.006173,-0.520987
QAOA,10,36,0,QAOA_H10_Q36_s0_shifted,16,8,3,1,2,0.187500,541,541,1.000000,2.983364,2.983364,0.000000,0.362292,0.005545,-0.356747
QAOA,10,36,0,QAOA_H10_Q36_s0_shifted,16,8,4,1,2,0.250000,407,407,1.000000,3.965602,3.965602,0.000000,0.230958,0.007371,-0.223587
QAOA,10,36,0,QAOA_H10_Q36_s0_shifted,4,16,2,1,2,0.500000,810,810,1.000000,1.992593,1.992593,0.000000,0.366667,0.003704,-0.362963
QAOA,10,36,0,QAOA_H10_Q36_s0_shifted,4,16,3,1,2,0.750000,541,541,1.000000,2.983364,2.983364,0.000000,0.157116,0.003697,-0.153419
QAOA,10,36,0,QAOA_H10_Q36_s0_shifted,4,16,4,1,2,1.000000,407,407,1.000000,3.965602,3.965602,0.000000,0.004914,0.004914,0.000000
QAOA,10,36,0,QAOA_H10_Q36_s0_shifted,4,4,2,1,2,0.500000,810,810,1.000000,1.992593,1.992593,0.000000,0.366667,0.003704,-0.362963
