dag_variant,algorithm,policy,latency_profile,width_profile,observation_count,unique_seed_count,throughput_median,stall_rate_median,utilization_median
shifted,QAOA,asap,mixed,W8_M4_F4,30,5,3.966346,0.004914,0.495793
shifted,QAOA,asap,mixed,W8_M4_F8,30,5,3.966346,0.004914,0.495793
shifted,QAOA,asap,mixed,W8_M8_F4,30,5,3.966346,0.245192,0.495793
shifted,QAOA,asap,mixed,W8_M8_F8,30,5,7.857143,0.009756,0.982143
shifted,QAOA,greedy_critical,l1_l1,W4_M4_F4,15,5,3.975904,0.002463,0.993976
shifted,QAOA,greedy_critical,l1_l1,W4_M4_F8,15,5,3.975904,0.002463,0.993976
shifted,QAOA,greedy_critical,l1_l1,W4_M8_F4,15,5,3.975904,0.002463,0.993976
shifted,QAOA,greedy_critical,l1_l1,W4_M8_F8,15,5,3.975904,0.002463,0.993976
shifted,QAOA,greedy_critical,l1_l1,W8_M4_F4,15,5,3.975904,0.002463,0.496988
shifted,QAOA,greedy_critical,l1_l1,W8_M4_F8,15,5,3.975904,0.002463,0.496988
shifted,QAOA,greedy_critical,l1_l1,W8_M8_F4,15,5,3.975904,0.426108,0.496988
shifted,QAOA,greedy_critical,l1_l1,W8_M8_F8,15,5,7.894737,0.004902,0.986842
shifted,QAOA,greedy_critical,l2_l2,W4_M4_F4,15,5,3.956835,0.007353,0.989209
shifted,QAOA,greedy_critical,l2_l2,W4_M4_F8,15,5,3.956835,0.007353,0.989209
shifted,QAOA,greedy_critical,l2_l2,W4_M8_F4,15,5,3.956835,0.007353,0.989209
shifted,QAOA,greedy_critical,l2_l2,W4_M8_F8,15,5,3.956835,0.007353,0.989209
shifted,QAOA,greedy_critical,l2_l2,W8_M4_F4,15,5,3.956835,0.007353,0.494604
shifted,QAOA,greedy_critical,l2_l2,W8_M4_F8,15,5,3.956835,0.007353,0.494604
shifted,QAOA,greedy_critical,l2_l2,W8_M8_F4,15,5,3.956835,0.426859,0.494604
shifted,QAOA,greedy_critical,l2_l2,W8_M8_F8,15,5,7.819905,0.014563,0.977488
shifted,QAOA,greedy_critical,mixed,W4_M4_F4,30,5,3.966346,0.004914,0.991587
shifted,QAOA,greedy_critical,mixed,W4_M4_F8,30,5,3.966346,0.004914,0.991587
shifted,QAOA,greedy_critical,mixed,W4_M8_F4,30,5,3.966346,0.004914,0.991587
shifted,QAOA,greedy_critical,mixed,W4_M8_F8,30,5,3.966346,0.004914,0.991587
shifted,QAOA,greedy_critical,mixed,W8_M4_F4,30,5,3.966346,0.004914,0.495793
shifted,QAOA,greedy_critical,mixed,W8_M4_F8,30,5,3.966346,0.004914,0.495793
shifted,QAOA,greedy_critical,mixed,W8_M8_F4,30,5,3.966346,0.425481,0.495793
shifted,QAOA,greedy_critical,mixed,W8_M8_F8,30,5,7.857143,0.009756,0.982143
shifted,QFT,asap,l1_l1,W4_M4_F4,10,5,3.974449,0.002229,0.993613
shifted,QFT,asap,l1_l1,W4_M4_F8,10,5,3.974449,0.002229,0.993613
shifted,QFT,asap,l1_l1,W4_M8_F4,10,5,3.974449,0.002229,0.993613
shifted,QFT,asap,l1_l1,W4_M8_F8,10,5,3.974449,0.002229,0.993613
shifted,QFT,asap,l1_l1,W8_M4_F4,10,5,3.974449,0.002229,0.496806
shifted,QFT,asap,l1_l1,W8_M4_F8,10,5,3.974449,0.002229,0.496806
shifted,QFT,asap,l1_l1,W8_M8_F4,10,5,3.974449,0.386414,0.496806
shifted,QFT,asap,l1_l1,W8_M8_F8,10,5,7.807764,0.004971,0.975971
shifted,QFT,asap,l2_l2,W4_M4_F4,10,5,3.920917,0.010352,0.980229
shifted,QFT,asap,l2_l2,W4_M4_F8,10,5,3.920917,0.010352,0.980229
shifted,QFT,asap,l2_l2,W4_M8_F4,10,5,3.920917,0.010352,0.980229
shifted,QFT,asap,l2_l2,W4_M8_F8,10,5,3.920917,0.010352,0.980229
shifted,QFT,asap,l2_l2,W8_M4_F4,10,5,3.920917,0.010352,0.490115
shifted,QFT,asap,l2_l2,W8_M4_F8,10,5,3.920917,0.010352,0.490115
shifted,QFT,asap,l2_l2,W8_M8_F4,10,5,3.927028,0.394626,0.490878
shifted,QFT,asap,l2_l2,W8_M8_F8,10,5,7.499442,0.035287,0.93743
shifted,QFT,asap,mixed,W4_M4_F4,20,5,3.950547,0.004745,0.987637
shifted,QFT,asap,mixed,W4_M4_F8,20,5,3.950547,0.004745,0.987637
shifted,QFT,asap,mixed,W4_M8_F4,20,5,3.950547,0.004745,0.987637
shifted,QFT,asap,mixed,W4_M8_F8,20,5,3.950547,0.004745,0.987637
shifted,QFT,asap,mixed,W8_M4_F4,20,5,3.950547,0.004745,0.493818
shifted,QFT,asap,mixed,W8_M4_F8,20,5,3.950547,0.004745,0.493818
shifted,QFT,asap,mixed,W8_M8_F4,20,5,3.950547,0.390088,0.493818
shifted,QFT,asap,mixed,W8_M8_F8,20,5,7.652152,0.01698,0.956519
shifted,QFT,greedy_critical,l1_l1,W4_M4_F4,10,5,3.984589,0.001927,0.996147
shifted,QFT,greedy_critical,l1_l1,W4_M4_F8,10,5,3.984589,0.001927,0.996147
shifted,QFT,greedy_critical,l1_l1,W4_M8_F4,10,5,3.984589,0.001927,0.996147
shifted,QFT,greedy_critical,l1_l1,W4_M8_F8,10,5,3.984589,0.001927,0.996147
shifted,QFT,greedy_critical,l1_l1,W8_M4_F4,10,5,3.984589,0.001927,0.498074
shifted,QFT,greedy_critical,l1_l1,W8_M4_F8,10,5,3.984589,0.001927,0.498074
shifted,QFT,greedy_critical,l1_l1,W8_M8_F4,10,5,3.975698,0.436581,0.496962
shifted,QFT,greedy_critical,l1_l1,W8_M8_F8,10,5,7.936203,0.003831,0.992025
shifted,QFT,greedy_critical,l2_l2,W4_M4_F4,10,5,3.969349,0.005747,0.992337
shifted,QFT,greedy_critical,l2_l2,W4_M4_F8,10,5,3.969349,0.005747,0.992337
shifted,QFT,greedy_critical,l2_l2,W4_M8_F4,10,5,3.969349,0.005747,0.992337
shifted,QFT,greedy_critical,l2_l2,W4_M8_F8,10,5,3.969349,0.005747,0.992337
shifted,QFT,greedy_critical,l2_l2,W8_M4_F4,10,5,3.969349,0.005747,0.496169
shifted,QFT,greedy_critical,l2_l2,W8_M4_F8,10,5,3.969349,0.005747,0.496169
shifted,QFT,greedy_critical,l2_l2,W8_M8_F4,10,5,3.943079,0.437551,0.492885
shifted,QFT,greedy_critical,l2_l2,W8_M8_F8,10,5,7.851742,0.011307,0.981467
shifted,QFT,greedy_critical,mixed,W4_M4_F4,20,5,3.976948,0.003842,0.994237
shifted,QFT,greedy_critical,mixed,W4_M4_F8,20,5,3.976948,0.003842,0.994237
shifted,QFT,greedy_critical,mixed,W4_M8_F4,20,5,3.976948,0.003842,0.994237
shifted,QFT,greedy_critical,mixed,W4_M8_F8,20,5,3.976948,0.003842,0.994237
shifted,QFT,greedy_critical,mixed,W8_M4_F4,20,5,3.976948,0.003842,0.497119
shifted,QFT,greedy_critical,mixed,W8_M4_F8,20,5,3.976948,0.003842,0.497119
shifted,QFT,greedy_critical,mixed,W8_M8_F4,20,5,3.959301,0.437771,0.494912
shifted,QFT,greedy_critical,mixed,W8_M8_F8,20,5,7.906067,0.00762,0.988258
shifted,VQE,asap,l1_l1,W4_M4_F4,15,5,3.97546,0.003067,0.993865
shifted,VQE,asap,l1_l1,W4_M4_F8,15,5,3.97546,0.003067,0.993865
shifted,VQE,asap,l1_l1,W4_M8_F4,15,5,3.97546,0.003067,0.993865
shifted,VQE,asap,l1_l1,W4_M8_F8,15,5,3.97546,0.003067,0.993865
shifted,VQE,asap,l1_l1,W8_M4_F4,15,5,3.97546,0.003067,0.496933
shifted,VQE,asap,l1_l1,W8_M4_F8,15,5,3.97546,0.003067,0.496933
shifted,VQE,asap,l1_l1,W8_M8_F4,15,5,3.97546,0.432515,0.496933
shifted,VQE,asap,l1_l1,W8_M8_F8,15,5,7.902439,0.006098,0.987805
shifted,VQE,asap,l2_l2,W4_M4_F4,15,5,3.95122,0.009146,0.987805
shifted,VQE,asap,l2_l2,W4_M4_F8,15,5,3.95122,0.009146,0.987805
shifted,VQE,asap,l2_l2,W4_M8_F4,15,5,3.95122,0.009146,0.987805
shifted,VQE,asap,l2_l2,W4_M8_F8,15,5,3.95122,0.009146,0.987805
shifted,VQE,asap,l2_l2,W8_M4_F4,15,5,3.95122,0.009146,0.493902
shifted,VQE,asap,l2_l2,W8_M4_F8,15,5,3.95122,0.009146,0.493902
shifted,VQE,asap,l2_l2,W8_M8_F4,15,5,3.95122,0.435976,0.493902
shifted,VQE,asap,l2_l2,W8_M8_F8,15,5,7.760479,0.017964,0.97006
shifted,VQE,asap,mixed,W4_M4_F4,30,5,3.963303,0.006116,0.990826
shifted,VQE,asap,mixed,W4_M4_F8,30,5,3.963303,0.006116,0.990826
shifted,VQE,asap,mixed,W4_M8_F4,30,5,3.963303,0.006116,0.990826
shifted,VQE,asap,mixed,W4_M8_F8,30,5,3.963303,0.006116,0.990826
shifted,VQE,asap,mixed,W8_M4_F4,30,5,3.963303,0.006116,0.495413
shifted,VQE,asap,mixed,W8_M4_F8,30,5,3.963303,0.006116,0.495413
shifted,VQE,asap,mixed,W8_M8_F4,30,5,3.963303,0.434251,0.495413
shifted,VQE,asap,mixed,W8_M8_F8,30,5,7.854545,0.012121,0.981818
shifted,VQE,greedy_critical,l1_l1,W4_M4_F4,15,5,3.97546,0.003067,0.993865
shifted,VQE,greedy_critical,l1_l1,W4_M4_F8,15,5,3.97546,0.003067,0.993865
shifted,VQE,greedy_critical,l1_l1,W4_M8_F4,15,5,3.97546,0.003067,0.993865
shifted,VQE,greedy_critical,l1_l1,W4_M8_F8,15,5,3.97546,0.003067,0.993865
shifted,VQE,greedy_critical,l1_l1,W8_M4_F4,15,5,3.97546,0.003067,0.496933
shifted,VQE,greedy_critical,l1_l1,W8_M4_F8,15,5,3.97546,0.003067,0.496933
shifted,VQE,greedy_critical,l1_l1,W8_M8_F4,15,5,3.97546,0.432515,0.496933
shifted,VQE,greedy_critical,l1_l1,W8_M8_F8,15,5,7.902439,0.006098,0.987805
shifted,VQE,greedy_critical,l2_l2,W4_M4_F4,15,5,3.95122,0.009146,0.987805
shifted,VQE,greedy_critical,l2_l2,W4_M4_F8,15,5,3.95122,0.009146,0.987805
shifted,VQE,greedy_critical,l2_l2,W4_M8_F4,15,5,3.95122,0.009146,0.987805
shifted,VQE,greedy_critical,l2_l2,W4_M8_F8,15,5,3.95122,0.009146,0.987805
shifted,VQE,greedy_critical,l2_l2,W8_M4_F4,15,5,3.95122,0.009146,0.493902
shifted,VQE,greedy_critical,l2_l2,W8_M4_F8,15,5,3.95122,0.009146,0.493902
shifted,VQE,greedy_critical,l2_l2,W8_M8_F4,15,5,3.95122,0.435976,0.493902
shifted,VQE,greedy_critical,l2_l2,W8_M8_F8,15,5,7.760479,0.017964,0.97006
shifted,VQE,greedy_critical,mixed,W4_M4_F4,30,5,3.963303,0.006116,0.990826
shifted,VQE,greedy_critical,mixed,W4_M4_F8,30,5,3.963303,0.006116,0.990826
shifted,VQE,greedy_critical,mixed,W4_M8_F4,30,5,3.963303,0.006116,0.990826
shifted,VQE,greedy_critical,mixed,W4_M8_F8,30,5,3.963303,0.006116,0.990826
shifted,VQE,greedy_critical,mixed,W8_M4_F4,30,5,3.963303,0.006116,0.495413
shifted,VQE,greedy_critical,mixed,W8_M4_F8,30,5,3.963303,0.006116,0.495413
shifted,VQE,greedy_critical,mixed,W8_M8_F4,30,5,3.963303,0.434251,0.495413
shifted,VQE,greedy_critical,mixed,W8_M8_F8,30,5,7.854545,0.012121,0.981818
