algorithm,hardware_size,logical_qubits,dag_seed,policy,release_mode,issue_width,l_meas,l_ff,meas_width,ff_width,raw_ff_chain_depth,shifted_ff_chain_depth,depth_reduction_pct,raw_throughput,shifted_throughput,throughput_delta,throughput_gain_pct,raw_stall_rate,shifted_stall_rate,stall_rate_delta,stall_reduction_pct,raw_utilization,shifted_utilization,utilization_delta,utilization_gain_pct,raw_saturation_ratio,raw_saturation_bucket,raw_stall_bucket,latency_profile,width_profile
QAOA,4,16,1,regime_switch,next_cycle,8,1,2,8,8,28,2,92.857143,2.722689,7.043478,4.320789,158.69565,0.453782,0.043478,-0.410304,90.418747,0.340336,0.880435,0.540099,158.695818,0.340336,underutilized,stall_high,mixed,W8_M8_F8
QAOA,4,16,1,regime_switch,next_cycle,8,2,1,8,4,28,2,92.857143,2.677686,3.640449,0.962763,35.955037,0.14876,0.078652,-0.070108,47.12826,0.334711,0.455056,0.120345,35.954898,0.334711,underutilized,stall_medium,mixed,W8_M8_F4
QAOA,4,16,1,regime_switch,next_cycle,8,2,1,8,8,28,2,92.857143,2.722689,7.043478,4.320789,158.69565,0.453782,0.043478,-0.410304,90.418747,0.340336,0.880435,0.540099,158.695818,0.340336,underutilized,stall_high,mixed,W8_M8_F8
QAOA,4,16,1,regime_switch,next_cycle,8,2,2,8,4,28,2,92.857143,2.16,3.521739,1.361739,63.043472,0.32,0.108696,-0.211304,66.0325,0.27,0.440217,0.170217,63.043333,0.27,underutilized,stall_high,l2_l2,W8_M8_F4
QAOA,4,16,1,regime_switch,next_cycle,8,2,2,8,8,28,2,92.857143,2.189189,6.75,4.560811,208.33336,0.560811,0.0625,-0.498311,88.855425,0.273649,0.84375,0.570101,208.332937,0.273649,underutilized,stall_high,l2_l2,W8_M8_F8
QAOA,4,16,1,shifted_critical,next_cycle,8,1,1,8,4,28,2,92.857143,3.446809,3.903614,0.456805,13.252983,0.06383,0.313253,0.249423,-390.761397,0.430851,0.487952,0.057101,13.253074,0.430851,underutilized,stall_medium,l1_l1,W8_M8_F4
QAOA,4,16,1,shifted_critical,next_cycle,8,1,1,8,8,28,2,92.857143,3.724138,7.534884,3.810746,102.325585,0.321839,0.023256,-0.298583,92.774027,0.465517,0.94186,0.476343,102.325586,0.465517,underutilized,stall_high,l1_l1,W8_M8_F8
QAOA,4,16,1,shifted_critical,next_cycle,8,1,2,8,4,28,2,92.857143,2.722689,3.857143,1.134454,41.666676,0.226891,0.309524,0.082633,-36.419691,0.340336,0.482143,0.141807,41.666765,0.340336,underutilized,stall_high,mixed,W8_M8_F4
QAOA,4,16,1,shifted_critical,next_cycle,8,1,2,8,8,28,2,92.857143,2.793103,7.363636,4.570533,163.636393,0.491379,0.045455,-0.445924,90.749503,0.349138,0.920455,0.571317,163.636442,0.349138,underutilized,stall_high,mixed,W8_M8_F8
QAOA,4,16,1,shifted_critical,next_cycle,8,2,1,8,4,28,2,92.857143,2.722689,3.857143,1.134454,41.666676,0.226891,0.309524,0.082633,-36.419691,0.340336,0.482143,0.141807,41.666765,0.340336,underutilized,stall_high,mixed,W8_M8_F4
