dag_variant,algorithm,hardware_size,logical_qubits,dag_seed,policy,l_meas,l_ff,meas_width,ff_width,ff_chain_depth,ff_chain_depth_raw,ff_chain_depth_shifted,throughput_asap,throughput_policy,throughput_vs_asap_pct,stall_asap,stall_policy,stall_vs_asap_pct
raw,QAOA,4,16,4,shifted_critical,1,1,8,8,34,34,2,2.944444,3.028571,2.857144,0.324074,0.4,23.4286
raw,QAOA,4,16,4,stall_aware_shifted,1,1,8,8,34,34,2,2.944444,3.028571,2.857144,0.324074,0.4,23.4286
raw,QAOA,4,16,4,asap,1,2,8,4,34,34,2,2.178082,2.178082,0.0,0.308219,0.308219,0.0
raw,QAOA,4,16,4,greedy_critical,1,2,8,4,34,34,2,2.178082,2.255319,3.546102,0.308219,0.333333,8.148102
raw,QAOA,4,16,4,shifted_critical,1,2,8,4,34,34,2,2.178082,2.255319,3.546102,0.308219,0.333333,8.148102
raw,QAOA,4,16,4,stall_aware_shifted,1,2,8,4,34,34,2,2.178082,2.239437,2.816928,0.308219,0.330986,7.386631
raw,QAOA,4,16,4,asap,1,2,8,8,34,34,2,2.223776,2.223776,0.0,0.48951,0.48951,0.0
raw,QAOA,4,16,4,greedy_critical,1,2,8,8,34,34,2,2.223776,2.271429,2.142887,0.48951,0.55,12.357255
raw,QAOA,4,16,4,shifted_critical,1,2,8,8,34,34,2,2.223776,2.271429,2.142887,0.48951,0.55,12.357255
raw,QAOA,4,16,4,stall_aware_shifted,1,2,8,8,34,34,2,2.223776,2.271429,2.142887,0.48951,0.55,12.357255
raw,QAOA,4,16,4,asap,2,1,8,4,34,34,2,2.178082,2.178082,0.0,0.308219,0.308219,0.0
raw,QAOA,4,16,4,greedy_critical,2,1,8,4,34,34,2,2.178082,2.255319,3.546102,0.308219,0.333333,8.148102
raw,QAOA,4,16,4,shifted_critical,2,1,8,4,34,34,2,2.178082,2.255319,3.546102,0.308219,0.333333,8.148102
raw,QAOA,4,16,4,stall_aware_shifted,2,1,8,4,34,34,2,2.178082,2.239437,2.816928,0.308219,0.330986,7.386631
raw,QAOA,4,16,4,asap,2,1,8,8,34,34,2,2.223776,2.223776,0.0,0.48951,0.48951,0.0
raw,QAOA,4,16,4,greedy_critical,2,1,8,8,34,34,2,2.223776,2.271429,2.142887,0.48951,0.55,12.357255
raw,QAOA,4,16,4,shifted_critical,2,1,8,8,34,34,2,2.223776,2.271429,2.142887,0.48951,0.55,12.357255
raw,QAOA,4,16,4,stall_aware_shifted,2,1,8,8,34,34,2,2.223776,2.271429,2.142887,0.48951,0.55,12.357255
raw,QAOA,4,16,4,asap,2,2,8,4,34,34,2,1.756906,1.756906,0.0,0.441989,0.441989,0.0
raw,QAOA,4,16,4,greedy_critical,2,2,8,4,34,34,2,1.756906,1.806818,2.840903,0.441989,0.448864,1.555469
raw,QAOA,4,16,4,shifted_critical,2,2,8,4,34,34,2,1.756906,1.806818,2.840903,0.441989,0.448864,1.555469
raw,QAOA,4,16,4,stall_aware_shifted,2,2,8,4,34,34,2,1.756906,1.806818,2.840903,0.441989,0.471591,6.697452
raw,QAOA,4,16,4,asap,2,2,8,8,34,34,2,1.786517,1.786517,0.0,0.589888,0.589888,0.0
raw,QAOA,4,16,4,greedy_critical,2,2,8,8,34,34,2,1.786517,1.817143,1.714285,0.589888,0.64,8.495172
raw,QAOA,4,16,4,shifted_critical,2,2,8,8,34,34,2,1.786517,1.817143,1.714285,0.589888,0.64,8.495172
raw,QAOA,4,16,4,stall_aware_shifted,2,2,8,8,34,34,2,1.786517,1.817143,1.714285,0.589888,0.64,8.495172
raw,QAOA,6,36,0,asap,1,1,8,4,76,76,2,3.701835,3.701835,0.0,0.059633,0.059633,0.0
raw,QAOA,6,36,0,greedy_critical,1,1,8,4,76,76,2,3.701835,3.753488,1.395335,0.059633,0.051163,-14.203545
raw,QAOA,6,36,0,shifted_critical,1,1,8,4,76,76,2,3.701835,3.753488,1.395335,0.059633,0.051163,-14.203545
raw,QAOA,6,36,0,stall_aware_shifted,1,1,8,4,76,76,2,3.701835,3.753488,1.395335,0.059633,0.055814,-6.404172
raw,QAOA,6,36,0,asap,1,1,8,8,76,76,2,6.044944,6.044944,0.0,0.131086,0.131086,0.0
raw,QAOA,6,36,0,greedy_critical,1,1,8,8,76,76,2,6.044944,6.987013,15.584412,0.131086,0.064935,-50.463818
raw,QAOA,6,36,0,shifted_critical,1,1,8,8,76,76,2,6.044944,6.987013,15.584412,0.131086,0.064935,-50.463818
raw,QAOA,6,36,0,stall_aware_shifted,1,1,8,8,76,76,2,6.044944,6.987013,15.584412,0.131086,0.064935,-50.463818
raw,QAOA,6,36,0,asap,1,2,8,4,76,76,2,3.501085,3.501085,0.0,0.106291,0.106291,0.0
raw,QAOA,6,36,0,greedy_critical,1,2,8,4,76,76,2,3.501085,3.547253,1.318677,0.106291,0.081319,-23.493993
raw,QAOA,6,36,0,shifted_critical,1,2,8,4,76,76,2,3.501085,3.555066,1.541836,0.106291,0.070485,-33.686766
raw,QAOA,6,36,0,stall_aware_shifted,1,2,8,4,76,76,2,3.501085,3.531729,0.875272,0.106291,0.09628,-9.418483
raw,QAOA,6,36,0,asap,1,2,8,8,76,76,2,5.028037,5.028037,0.0,0.196262,0.196262,0.0
raw,QAOA,6,36,0,greedy_critical,1,2,8,8,76,76,2,5.028037,5.24026,4.220792,0.196262,0.243506,24.071904
raw,QAOA,6,36,0,shifted_critical,1,2,8,8,76,76,2,5.028037,5.24026,4.220792,0.196262,0.24026,22.417992
raw,QAOA,6,36,0,stall_aware_shifted,1,2,8,8,76,76,2,5.028037,5.24026,4.220792,0.196262,0.24026,22.417992
raw,QAOA,6,36,0,asap,2,1,8,4,76,76,2,3.501085,3.501085,0.0,0.106291,0.106291,0.0
raw,QAOA,6,36,0,greedy_critical,2,1,8,4,76,76,2,3.501085,3.547253,1.318677,0.106291,0.081319,-23.493993
raw,QAOA,6,36,0,shifted_critical,2,1,8,4,76,76,2,3.501085,3.555066,1.541836,0.106291,0.070485,-33.686766
raw,QAOA,6,36,0,stall_aware_shifted,2,1,8,4,76,76,2,3.501085,3.531729,0.875272,0.106291,0.09628,-9.418483
raw,QAOA,6,36,0,asap,2,1,8,8,76,76,2,5.028037,5.028037,0.0,0.196262,0.196262,0.0
raw,QAOA,6,36,0,greedy_critical,2,1,8,8,76,76,2,5.028037,5.24026,4.220792,0.196262,0.243506,24.071904
raw,QAOA,6,36,0,shifted_critical,2,1,8,8,76,76,2,5.028037,5.24026,4.220792,0.196262,0.24026,22.417992
raw,QAOA,6,36,0,stall_aware_shifted,2,1,8,8,76,76,2,5.028037,5.24026,4.220792,0.196262,0.24026,22.417992
raw,QAOA,6,36,0,asap,2,2,8,4,76,76,2,3.267206,3.267206,0.0,0.145749,0.145749,0.0
raw,QAOA,6,36,0,greedy_critical,2,2,8,4,76,76,2,3.267206,3.320988,1.646116,0.145749,0.139918,-4.000714
raw,QAOA,6,36,0,shifted_critical,2,2,8,4,76,76,2,3.267206,3.320988,1.646116,0.145749,0.139918,-4.000714
raw,QAOA,6,36,0,stall_aware_shifted,2,2,8,4,76,76,2,3.267206,3.320988,1.646116,0.145749,0.141975,-2.589383
raw,QAOA,6,36,0,asap,2,2,8,8,76,76,2,4.127877,4.127877,0.0,0.29156,0.29156,0.0
raw,QAOA,6,36,0,greedy_critical,2,2,8,8,76,76,2,4.127877,4.192208,1.558452,0.29156,0.355844,22.048292
raw,QAOA,6,36,0,shifted_critical,2,2,8,8,76,76,2,4.127877,4.192208,1.558452,0.29156,0.355844,22.048292
raw,QAOA,6,36,0,stall_aware_shifted,2,2,8,8,76,76,2,4.127877,4.192208,1.558452,0.29156,0.355844,22.048292
raw,QAOA,6,36,1,asap,1,1,8,4,73,73,2,3.931034,3.931034,0.0,0.009852,0.009852,0.0
raw,QAOA,6,36,1,greedy_critical,1,1,8,4,73,73,2,3.931034,3.950495,0.495061,0.009852,0.007426,-24.624442
