algorithm,hardware_size,logical_qubits,policy,release_mode,issue_width,l_meas,l_ff,meas_width,ff_width,n_seeds_raw,n_seeds_shifted,ff_chain_depth_raw_median,ff_chain_depth_shifted_median,depth_reduction_pct,throughput_raw_median,throughput_shifted_median,throughput_delta,throughput_gain_pct,stall_rate_raw_median,stall_rate_shifted_median,stall_rate_delta,stall_reduction_pct,utilization_raw_median,utilization_shifted_median,utilization_delta,utilization_gain_pct
QAOA,6,36,asap,next_cycle,8,2,1,8,8,5,5,76.0,2.0,97.368421,5.028037,7.857143,2.829106,56.266611,0.178683,0.009756,-0.168927,94.540051,0.628505,0.982143,0.353638,56.266537
QAOA,6,36,asap,next_cycle,8,2,2,4,4,5,5,76.0,2.0,97.368421,3.311688,3.956835,0.645147,19.480911,0.089669,0.007353,-0.082316,91.799842,0.413961,0.494604,0.080643,19.480821
QAOA,6,36,asap,next_cycle,8,2,2,4,8,5,5,76.0,2.0,97.368421,3.311688,3.956835,0.645147,19.480911,0.089669,0.007353,-0.082316,91.799842,0.413961,0.494604,0.080643,19.480821
QAOA,6,36,asap,next_cycle,8,2,2,8,4,5,5,76.0,2.0,97.368421,3.304536,3.956835,0.652299,19.739504,0.116959,0.235142,0.118183,-101.046521,0.413067,0.494604,0.081537,19.739413
QAOA,6,36,asap,next_cycle,8,2,2,8,8,5,5,76.0,2.0,97.368421,4.127877,7.806122,3.678245,89.107427,0.28836,0.014493,-0.273867,94.973991,0.515985,0.975765,0.45978,89.107241
QAOA,6,36,greedy_critical,next_cycle,4,1,1,4,4,5,5,76.0,2.0,97.368421,3.975904,3.975904,0.0,0.0,0.002463,0.002463,0.0,0.0,0.993976,0.993976,0.0,0.0
QAOA,6,36,greedy_critical,next_cycle,4,1,1,4,8,5,5,76.0,2.0,97.368421,3.975904,3.975904,0.0,0.0,0.002463,0.002463,0.0,0.0,0.993976,0.993976,0.0,0.0
QAOA,6,36,greedy_critical,next_cycle,4,1,1,8,4,5,5,76.0,2.0,97.368421,3.975904,3.975904,0.0,0.0,0.002463,0.002463,0.0,0.0,0.993976,0.993976,0.0,0.0
QAOA,6,36,greedy_critical,next_cycle,4,1,1,8,8,5,5,76.0,2.0,97.368421,3.975904,3.975904,0.0,0.0,0.002463,0.002463,0.0,0.0,0.993976,0.993976,0.0,0.0
QAOA,6,36,greedy_critical,next_cycle,4,1,2,4,4,5,5,76.0,2.0,97.368421,3.963731,3.966346,0.002615,0.065973,0.004878,0.004914,3.6e-05,-0.738007,0.990933,0.991587,0.000654,0.065998
