algorithm,hardware_size,logical_qubits,dag_variant,policy,release_mode,issue_width,l_meas,l_ff,meas_width,ff_width,n_seeds,total_nodes_median,total_cycles_median,ff_chain_depth_median,throughput_median,throughput_q1,throughput_q3,stall_rate_median,stall_rate_q1,stall_rate_q3,utilization_median,ff_chain_depth_raw_median,ff_chain_depth_shifted_median
QAOA,4,16,shifted,asap,next_cycle,4,1,1,8,8,5,318.0,82.0,2.0,3.878049,3.878049,3.896862,0.012195,0.011519,0.012195,0.969512,34.0,2.0
QAOA,4,16,shifted,asap,next_cycle,4,1,2,4,4,5,318.0,83.0,2.0,3.831325,3.821545,3.839576,0.024096,0.022634,0.024096,0.957831,34.0,2.0
QAOA,4,16,shifted,asap,next_cycle,4,1,2,4,8,5,318.0,83.0,2.0,3.831325,3.821545,3.839576,0.024096,0.022634,0.024096,0.957831,34.0,2.0
QAOA,4,16,shifted,asap,next_cycle,4,1,2,8,4,5,318.0,83.0,2.0,3.831325,3.821545,3.839576,0.024096,0.022634,0.024096,0.957831,34.0,2.0
QAOA,4,16,shifted,asap,next_cycle,4,1,2,8,8,5,318.0,83.0,2.0,3.831325,3.821545,3.839576,0.024096,0.022634,0.024096,0.957831,34.0,2.0
QAOA,4,16,shifted,asap,next_cycle,4,2,1,4,4,5,318.0,83.0,2.0,3.831325,3.821545,3.839576,0.024096,0.022634,0.024096,0.957831,34.0,2.0
QAOA,4,16,shifted,asap,next_cycle,4,2,1,4,8,5,318.0,83.0,2.0,3.831325,3.821545,3.839576,0.024096,0.022634,0.024096,0.957831,34.0,2.0
QAOA,4,16,shifted,asap,next_cycle,4,2,1,8,4,5,318.0,83.0,2.0,3.831325,3.821545,3.839576,0.024096,0.022634,0.024096,0.957831,34.0,2.0
QAOA,4,16,shifted,asap,next_cycle,4,2,1,8,8,5,318.0,83.0,2.0,3.831325,3.821545,3.839576,0.024096,0.022634,0.024096,0.957831,34.0,2.0
QAOA,4,16,shifted,asap,next_cycle,4,2,2,4,4,5,318.0,85.0,2.0,3.741176,3.732657,3.753566,0.035294,0.033199,0.035294,0.935294,34.0,2.0
QAOA,4,16,shifted,asap,next_cycle,4,2,2,4,8,5,318.0,85.0,2.0,3.741176,3.732657,3.753566,0.035294,0.033199,0.035294,0.935294,34.0,2.0
QAOA,4,16,shifted,asap,next_cycle,4,2,2,8,4,5,318.0,85.0,2.0,3.741176,3.732657,3.753566,0.035294,0.033199,0.035294,0.935294,34.0,2.0
QAOA,4,16,shifted,asap,next_cycle,4,2,2,8,8,5,318.0,85.0,2.0,3.741176,3.732657,3.753566,0.035294,0.033199,0.035294,0.935294,34.0,2.0
QAOA,4,16,shifted,asap,next_cycle,8,1,1,4,4,5,318.0,82.0,2.0,3.878049,3.878049,3.896862,0.012195,0.011519,0.012195,0.484756,34.0,2.0
QAOA,4,16,shifted,asap,next_cycle,8,1,1,4,8,5,318.0,82.0,2.0,3.878049,3.878049,3.896862,0.012195,0.011519,0.012195,0.484756,34.0,2.0
QAOA,4,16,shifted,asap,next_cycle,8,1,1,8,4,5,318.0,82.0,2.0,3.878049,3.878049,3.896862,0.168675,0.152439,0.244036,0.484756,34.0,2.0
QAOA,4,16,shifted,asap,next_cycle,8,1,1,8,8,5,318.0,43.0,2.0,7.395349,7.369318,7.395349,0.023256,0.02178,0.023256,0.924419,34.0,2.0
QAOA,4,16,shifted,asap,next_cycle,8,1,2,4,4,5,318.0,83.0,2.0,3.831325,3.821545,3.839576,0.024096,0.022634,0.024096,0.478916,34.0,2.0
QAOA,4,16,shifted,asap,next_cycle,8,1,2,4,8,5,318.0,83.0,2.0,3.831325,3.821545,3.839576,0.024096,0.022634,0.024096,0.478916,34.0,2.0
QAOA,4,16,shifted,asap,next_cycle,8,1,2,8,4,5,318.0,83.0,2.0,3.831325,3.821545,3.839576,0.176471,0.150603,0.241226,0.478916,34.0,2.0
QAOA,4,16,shifted,asap,next_cycle,8,1,2,8,8,5,318.0,45.0,2.0,7.066667,7.055072,7.073334,0.044444,0.041739,0.044444,0.883333,34.0,2.0
QAOA,4,16,shifted,asap,next_cycle,8,2,1,4,4,5,318.0,83.0,2.0,3.831325,3.821545,3.839576,0.024096,0.022634,0.024096,0.478916,34.0,2.0
QAOA,4,16,shifted,asap,next_cycle,8,2,1,4,8,5,318.0,83.0,2.0,3.831325,3.821545,3.839576,0.024096,0.022634,0.024096,0.478916,34.0,2.0
QAOA,4,16,shifted,asap,next_cycle,8,2,1,8,4,5,318.0,83.0,2.0,3.831325,3.821545,3.839576,0.176471,0.150603,0.241226,0.478916,34.0,2.0
QAOA,4,16,shifted,asap,next_cycle,8,2,1,8,8,5,318.0,45.0,2.0,7.066667,7.055072,7.073334,0.044444,0.041739,0.044444,0.883333,34.0,2.0
QAOA,4,16,shifted,asap,next_cycle,8,2,2,4,4,5,318.0,85.0,2.0,3.741176,3.732657,3.753566,0.035294,0.033199,0.035294,0.467647,34.0,2.0
QAOA,4,16,shifted,asap,next_cycle,8,2,2,4,8,5,318.0,85.0,2.0,3.741176,3.732657,3.753566,0.035294,0.033199,0.035294,0.467647,34.0,2.0
QAOA,4,16,shifted,asap,next_cycle,8,2,2,8,4,5,318.0,85.0,2.0,3.741176,3.732657,3.753566,0.183908,0.164706,0.252879,0.467647,34.0,2.0
