algorithm,hardware_size,logical_qubits,policy,release_mode,issue_width,l_meas,l_ff,meas_width,ff_width,n_seeds,total_nodes_median,total_cycles_median,throughput_median,throughput_q1,throughput_q3,stall_rate_median,stall_rate_q1,stall_rate_q3,utilization_median,ff_chain_depth_raw_median
QAOA,10,100,greedy_critical,same_cycle,4,2,2,,,5,12042.0,3015.0,3.99403,3.993949,3.994394,0.000995,0.000989,0.001008,0.998507,217.0
QAOA,10,100,greedy_critical,same_cycle,4,2,3,,,5,12042.0,3016.0,3.992706,3.992606,3.993076,0.001326,0.001319,0.001344,0.998176,217.0
QAOA,10,100,greedy_critical,same_cycle,4,2,5,,,5,12042.0,3042.0,3.97141,3.93903,3.986012,0.004322,0.001998,0.009461,0.992852,217.0
QAOA,10,100,greedy_critical,same_cycle,4,3,1,,,5,12042.0,3015.0,3.99403,3.993949,3.994394,0.000995,0.000989,0.001008,0.998507,217.0
QAOA,10,100,greedy_critical,same_cycle,4,3,2,,,5,12042.0,3016.0,3.992706,3.992606,3.993076,0.001326,0.001319,0.001344,0.998176,217.0
QAOA,10,100,greedy_critical,same_cycle,4,3,3,,,5,12042.0,3018.0,3.991216,3.980585,3.991378,0.001671,0.001651,0.003307,0.997804,217.0
QAOA,10,100,greedy_critical,same_cycle,4,3,5,,,5,12042.0,3074.0,3.932192,3.892711,3.945953,0.012508,0.00772,0.019639,0.983048,217.0
QAOA,10,100,greedy_critical,same_cycle,8,1,1,,,5,12042.0,1508.0,7.98783,7.985352,7.988787,0.000663,0.00066,0.000672,0.998479,217.0
QAOA,10,100,greedy_critical,same_cycle,8,1,2,,,5,12042.0,1509.0,7.980119,7.961089,7.982658,0.001325,0.001315,0.001344,0.997515,217.0
QAOA,10,100,greedy_critical,same_cycle,8,1,3,,,5,12042.0,1537.0,7.864384,7.78418,7.89059,0.008558,0.004255,0.013839,0.983048,217.0
QAOA,10,100,greedy_critical,same_cycle,8,1,5,,,5,12042.0,1624.0,7.462154,7.350886,7.481143,0.043719,0.033329,0.059234,0.932769,217.0
QAOA,10,100,greedy_critical,same_cycle,8,2,1,,,5,12042.0,1509.0,7.980119,7.961089,7.982658,0.001325,0.001315,0.001344,0.997515,217.0
QAOA,10,100,greedy_critical,same_cycle,8,2,2,,,5,12042.0,1537.0,7.864384,7.78418,7.89059,0.008558,0.004255,0.013839,0.983048,217.0
QAOA,10,100,greedy_critical,same_cycle,8,2,3,,,5,12042.0,1576.0,7.682315,7.576707,7.70031,0.019036,0.013579,0.025423,0.960289,217.0
QAOA,10,100,greedy_critical,same_cycle,8,2,5,,,5,12042.0,1675.0,7.209275,7.106822,7.243996,0.076877,0.05472,0.089761,0.901159,217.0
QAOA,10,100,greedy_critical,same_cycle,8,3,1,,,5,12042.0,1537.0,7.864384,7.78418,7.89059,0.008558,0.004255,0.013839,0.983048,217.0
QAOA,10,100,greedy_critical,same_cycle,8,3,2,,,5,12042.0,1576.0,7.682315,7.576707,7.70031,0.019036,0.013579,0.025423,0.960289,217.0
QAOA,10,100,greedy_critical,same_cycle,8,3,3,,,5,12042.0,1624.0,7.462154,7.350886,7.481143,0.043719,0.033329,0.059234,0.932769,217.0
QAOA,10,100,greedy_critical,same_cycle,8,3,5,,,5,12042.0,1790.0,6.757542,6.650523,6.915106,0.128233,0.102453,0.137769,0.844693,217.0
QAOA,10,100,layer,same_cycle,16,1,1,,,5,12042.0,892.0,13.59417,13.373171,13.718525,0.0213,0.017885,0.030448,0.849636,217.0
QAOA,10,100,layer,same_cycle,16,1,2,,,5,12042.0,965.0,12.534715,12.394794,12.829568,0.072539,0.057206,0.086579,0.78342,217.0
QAOA,10,100,layer,same_cycle,16,1,3,,,5,12042.0,1061.0,11.400566,11.153548,11.687077,0.140335,0.125893,0.149109,0.712535,217.0
QAOA,10,100,layer,same_cycle,16,1,5,,,5,12042.0,1346.0,8.986627,8.65042,9.100439,0.273628,0.265382,0.296592,0.561664,217.0
QAOA,10,100,layer,same_cycle,16,2,1,,,5,12042.0,965.0,12.534715,12.394794,12.829568,0.072539,0.057206,0.086579,0.78342,217.0
QAOA,10,100,layer,same_cycle,16,2,2,,,5,12042.0,1061.0,11.400566,11.153548,11.687077,0.140335,0.125893,0.149109,0.712535,217.0
QAOA,10,100,layer,same_cycle,16,2,3,,,5,12042.0,1184.0,10.216216,9.857544,10.398276,0.206584,0.19762,0.215763,0.638514,217.0
QAOA,10,100,layer,same_cycle,16,2,5,,,5,12042.0,1537.0,7.777485,7.52662,7.927585,0.33637,0.322661,0.347869,0.486093,217.0
QAOA,10,100,layer,same_cycle,16,3,1,,,5,12042.0,1061.0,11.400566,11.153548,11.687077,0.140335,0.125893,0.149109,0.712535,217.0
QAOA,10,100,layer,same_cycle,16,3,2,,,5,12042.0,1184.0,10.216216,9.857544,10.398276,0.206584,0.19762,0.215763,0.638514,217.0
QAOA,10,100,layer,same_cycle,16,3,3,,,5,12042.0,1346.0,8.986627,8.65042,9.100439,0.273628,0.265382,0.296592,0.561664,217.0
QAOA,10,100,layer,same_cycle,16,3,5,,,5,12042.0,1755.0,6.824957,6.610503,6.943226,0.406455,0.391106,0.413552,0.42656,217.0
QAOA,10,100,layer,same_cycle,1,1,1,,,5,12042.0,12046.0,0.999752,0.999708,0.999833,0.000165,8.3e-05,0.000208,0.999752,217.0
QAOA,10,100,layer,same_cycle,1,1,2,,,5,12042.0,12050.0,0.999422,0.999375,0.999707,0.000496,0.000209,0.000541,0.999422,217.0
QAOA,10,100,layer,same_cycle,1,1,3,,,5,12042.0,12058.0,0.99908,0.998841,0.999499,0.000836,0.000418,0.001076,0.99908,217.0
QAOA,10,100,layer,same_cycle,1,1,5,,,5,12042.0,12082.0,0.998245,0.997108,0.998874,0.001671,0.001043,0.00281,0.998245,217.0
QAOA,10,100,layer,same_cycle,1,2,1,,,5,12042.0,12050.0,0.999422,0.999375,0.999707,0.000496,0.000209,0.000541,0.999422,217.0
QAOA,10,100,layer,same_cycle,1,2,2,,,5,12042.0,12058.0,0.99908,0.998841,0.999499,0.000836,0.000418,0.001076,0.99908,217.0
QAOA,10,100,layer,same_cycle,1,2,3,,,5,12042.0,12068.0,0.998662,0.998098,0.999208,0.001254,0.00071,0.00182,0.998662,217.0
QAOA,10,100,layer,same_cycle,1,2,5,,,5,12042.0,12094.0,0.997662,0.996038,0.998458,0.002255,0.001458,0.00388,0.997662,217.0
QAOA,10,100,layer,same_cycle,1,3,1,,,5,12042.0,12058.0,0.99908,0.998841,0.999499,0.000836,0.000418,0.001076,0.99908,217.0
QAOA,10,100,layer,same_cycle,1,3,2,,,5,12042.0,12068.0,0.998662,0.998098,0.999208,0.001254,0.00071,0.00182,0.998662,217.0
QAOA,10,100,layer,same_cycle,1,3,3,,,5,12042.0,12082.0,0.998245,0.997108,0.998874,0.001671,0.001043,0.00281,0.998245,217.0
QAOA,10,100,layer,same_cycle,1,3,5,,,5,12042.0,12108.0,0.996995,0.994765,0.998002,0.002921,0.001914,0.005151,0.996995,217.0
QAOA,10,100,layer,same_cycle,2,1,1,,,5,12042.0,6080.0,1.981095,1.980335,1.982594,0.000493,0.000166,0.000576,0.990547,217.0
QAOA,10,100,layer,same_cycle,2,1,2,,,5,12042.0,6089.0,1.979781,1.978225,1.980955,0.00116,0.000744,0.001641,0.989891,217.0
QAOA,10,100,layer,same_cycle,2,1,3,,,5,12042.0,6101.0,1.977173,1.974639,1.979184,0.002152,0.001404,0.0036,0.988586,217.0
QAOA,10,100,layer,same_cycle,2,1,5,,,5,12042.0,6137.0,1.969786,1.962279,1.97394,0.005938,0.003775,0.009836,0.984893,217.0
QAOA,10,100,layer,same_cycle,2,2,1,,,5,12042.0,6089.0,1.979781,1.978225,1.980955,0.00116,0.000744,0.001641,0.989891,217.0
QAOA,10,100,layer,same_cycle,2,2,2,,,5,12042.0,6101.0,1.977173,1.974639,1.979184,0.002152,0.001404,0.0036,0.988586,217.0
QAOA,10,100,layer,same_cycle,2,2,3,,,5,12042.0,6116.0,1.974275,1.969162,1.976885,0.003802,0.002224,0.006526,0.987138,217.0
