algorithm,hardware_size,logical_qubits,policy,release_mode,issue_width,l_meas,l_ff,meas_width,ff_width,n_seeds,total_nodes_median,total_cycles_median,throughput_median,throughput_q1,throughput_q3,stall_rate_median,stall_rate_q1,stall_rate_q3,utilization_median,ff_chain_depth_raw_median
QAOA,4,16,asap,next_cycle,4,1,3,,4,5,318.0,180.0,1.806122,1.752186,2.023621,0.305556,0.282459,0.373105,0.451531,34.0
QAOA,4,16,asap,next_cycle,4,1,3,,8,5,318.0,180.0,1.806122,1.752186,2.023621,0.305556,0.282459,0.373105,0.451531,34.0
QAOA,4,16,asap,next_cycle,4,2,1,,1,5,318.0,324.0,0.987578,0.983,0.989826,0.195652,0.188154,0.202769,0.246894,34.0
QAOA,4,16,asap,next_cycle,4,2,1,,2,5,318.0,176.0,1.83815,1.772261,1.890987,0.109827,0.09474,0.164245,0.459538,34.0
QAOA,4,16,asap,next_cycle,4,2,1,,4,5,318.0,149.0,2.226415,2.134228,2.493018,0.223881,0.167402,0.28188,0.556604,34.0
QAOA,4,16,asap,next_cycle,4,2,1,,8,5,318.0,149.0,2.226415,2.134228,2.493018,0.223881,0.167402,0.28188,0.556604,34.0
QAOA,4,16,asap,next_cycle,4,2,2,,1,5,318.0,329.0,0.978462,0.965101,0.984207,0.20122,0.194183,0.209414,0.244615,34.0
QAOA,4,16,asap,next_cycle,4,2,2,,2,5,318.0,196.0,1.630769,1.590637,1.75536,0.163265,0.139847,0.227791,0.407692,34.0
QAOA,4,16,asap,next_cycle,4,2,2,,4,5,318.0,180.0,1.806122,1.752186,2.023621,0.305556,0.282459,0.373105,0.451531,34.0
QAOA,4,16,asap,next_cycle,4,2,2,,8,5,318.0,180.0,1.806122,1.752186,2.023621,0.305556,0.282459,0.373105,0.451531,34.0
QAOA,4,16,asap,next_cycle,4,2,3,,1,5,318.0,335.0,0.964578,0.940902,0.974191,0.209726,0.203848,0.229269,0.241144,34.0
QAOA,4,16,asap,next_cycle,4,2,3,,2,5,318.0,228.0,1.46281,1.38568,1.575489,0.268595,0.214846,0.307103,0.365702,34.0
QAOA,4,16,asap,next_cycle,4,2,3,,4,5,318.0,215.0,1.512821,1.468893,1.698058,0.418605,0.397915,0.474359,0.378205,34.0
QAOA,4,16,asap,next_cycle,4,2,3,,8,5,318.0,215.0,1.512821,1.468893,1.698058,0.418605,0.397915,0.474359,0.378205,34.0
QAOA,4,16,asap,next_cycle,8,1,1,,1,5,318.0,321.0,0.99375,0.992202,0.994123,0.19375,0.185042,0.200915,0.124219,34.0
QAOA,4,16,asap,next_cycle,8,1,1,,2,5,318.0,166.0,1.923913,1.893126,1.95133,0.109756,0.087994,0.116053,0.240489,34.0
QAOA,4,16,asap,next_cycle,8,1,1,,4,5,318.0,112.0,2.878049,2.802251,3.156084,0.107143,0.079709,0.152702,0.359756,34.0
QAOA,4,16,asap,next_cycle,8,1,1,,8,5,318.0,107.0,3.051724,2.958203,3.439176,0.293103,0.27291,0.358298,0.381466,34.0
QAOA,4,16,asap,next_cycle,8,1,2,,1,5,318.0,324.0,0.987578,0.983,0.989826,0.198758,0.191099,0.205842,0.123447,34.0
QAOA,4,16,asap,next_cycle,8,1,2,,2,5,318.0,176.0,1.83815,1.772261,1.890987,0.115607,0.091404,0.167086,0.229769,34.0
QAOA,4,16,asap,next_cycle,8,1,2,,4,5,318.0,146.0,2.226415,2.178082,2.52541,0.291045,0.205468,0.311644,0.278302,34.0
QAOA,4,16,asap,next_cycle,8,1,2,,8,5,318.0,142.0,2.298701,2.231606,2.593902,0.467532,0.451697,0.515882,0.287338,34.0
QAOA,4,16,asap,next_cycle,8,1,3,,1,5,318.0,329.0,0.978462,0.965101,0.984207,0.207317,0.20003,0.215483,0.122308,34.0
QAOA,4,16,asap,next_cycle,8,1,3,,2,5,318.0,196.0,1.630769,1.590637,1.75536,0.173469,0.150247,0.23782,0.203846,34.0
QAOA,4,16,asap,next_cycle,8,1,3,,4,5,318.0,181.0,1.806122,1.756906,2.049512,0.370166,0.349878,0.412321,0.225765,34.0
QAOA,4,16,asap,next_cycle,8,1,3,,8,5,318.0,177.0,1.84375,1.791564,2.082172,0.572917,0.559908,0.611328,0.230469,34.0
QAOA,4,16,asap,next_cycle,8,2,1,,1,5,318.0,324.0,0.987578,0.983,0.989826,0.198758,0.191099,0.205842,0.123447,34.0
QAOA,4,16,asap,next_cycle,8,2,1,,2,5,318.0,176.0,1.83815,1.772261,1.890987,0.115607,0.091404,0.167086,0.229769,34.0
QAOA,4,16,asap,next_cycle,8,2,1,,4,5,318.0,146.0,2.226415,2.178082,2.52541,0.291045,0.205468,0.311644,0.278302,34.0
QAOA,4,16,asap,next_cycle,8,2,1,,8,5,318.0,142.0,2.298701,2.231606,2.593902,0.467532,0.451697,0.515882,0.287338,34.0
QAOA,4,16,asap,next_cycle,8,2,2,,1,5,318.0,329.0,0.978462,0.965101,0.984207,0.207317,0.20003,0.215483,0.122308,34.0
QAOA,4,16,asap,next_cycle,8,2,2,,2,5,318.0,196.0,1.630769,1.590637,1.75536,0.173469,0.150247,0.23782,0.203846,34.0
QAOA,4,16,asap,next_cycle,8,2,2,,4,5,318.0,181.0,1.806122,1.756906,2.049512,0.370166,0.349878,0.412321,0.225765,34.0
QAOA,4,16,asap,next_cycle,8,2,2,,8,5,318.0,177.0,1.84375,1.791564,2.082172,0.572917,0.559908,0.611328,0.230469,34.0
QAOA,4,16,asap,next_cycle,8,2,3,,1,5,318.0,335.0,0.964578,0.940902,0.974191,0.215805,0.209602,0.235186,0.120572,34.0
QAOA,4,16,asap,next_cycle,8,2,3,,2,5,318.0,228.0,1.46281,1.38568,1.575489,0.27686,0.224657,0.315818,0.182851,34.0
QAOA,4,16,asap,next_cycle,8,2,3,,4,5,318.0,216.0,1.512821,1.472222,1.716252,0.472222,0.455607,0.507656,0.189103,34.0
QAOA,4,16,asap,next_cycle,8,2,3,,8,5,318.0,212.0,1.53913,1.496479,1.739088,0.643478,0.632446,0.675337,0.192391,34.0
QAOA,4,16,greedy_critical,next_cycle,16,1,1,,1,5,318.0,321.0,0.99375,0.992202,0.994123,0.155763,0.148033,0.160947,0.062109,34.0
QAOA,4,16,greedy_critical,next_cycle,16,1,1,,2,5,318.0,165.0,1.939024,1.921468,1.965705,0.079268,0.06362,0.086891,0.121189,34.0
QAOA,4,16,greedy_critical,next_cycle,16,1,1,,4,5,318.0,108.0,3.0,2.904654,3.267094,0.166667,0.113505,0.190982,0.1875,34.0
QAOA,4,16,greedy_critical,next_cycle,16,1,1,,8,5,318.0,105.0,3.105263,3.028571,3.518319,0.427083,0.371144,0.457143,0.194079,34.0
QAOA,4,16,greedy_critical,next_cycle,16,1,2,,1,5,318.0,323.0,0.987578,0.986049,0.989826,0.160991,0.153059,0.164844,0.061724,34.0
QAOA,4,16,greedy_critical,next_cycle,16,1,2,,2,5,318.0,172.0,1.870588,1.807752,1.906568,0.116402,0.094963,0.130491,0.116912,34.0
QAOA,4,16,greedy_critical,next_cycle,16,1,2,,4,5,318.0,141.0,2.313725,2.255319,2.593902,0.27907,0.212886,0.351064,0.144608,34.0
QAOA,4,16,greedy_critical,next_cycle,16,1,2,,8,5,318.0,140.0,2.328947,2.271429,2.638739,0.570312,0.528358,0.592858,0.145559,34.0
QAOA,4,16,greedy_critical,next_cycle,16,1,3,,1,5,318.0,328.0,0.978462,0.970994,0.984207,0.170732,0.160486,0.174041,0.061154,34.0
QAOA,4,16,greedy_critical,next_cycle,16,1,3,,2,5,318.0,189.0,1.68254,1.640265,1.777925,0.169312,0.145001,0.201342,0.105159,34.0
QAOA,4,16,greedy_critical,next_cycle,16,1,3,,4,5,318.0,176.0,1.853403,1.806818,2.082172,0.447205,0.399374,0.480113,0.115838,34.0
QAOA,4,16,greedy_critical,next_cycle,16,1,3,,8,5,318.0,175.0,1.863158,1.817143,2.110991,0.65625,0.622686,0.674286,0.116447,34.0
QAOA,4,16,greedy_critical,next_cycle,16,2,1,,1,5,318.0,323.0,0.987578,0.986049,0.989826,0.160991,0.153059,0.164844,0.061724,34.0
QAOA,4,16,greedy_critical,next_cycle,16,2,1,,2,5,318.0,172.0,1.870588,1.807752,1.906568,0.116402,0.094963,0.130491,0.116912,34.0
QAOA,4,16,greedy_critical,next_cycle,16,2,1,,4,5,318.0,141.0,2.313725,2.255319,2.593902,0.27907,0.212886,0.351064,0.144608,34.0
QAOA,4,16,greedy_critical,next_cycle,16,2,1,,8,5,318.0,140.0,2.328947,2.271429,2.638739,0.570312,0.528358,0.592858,0.145559,34.0
QAOA,4,16,greedy_critical,next_cycle,16,2,2,,1,5,318.0,328.0,0.978462,0.970994,0.984207,0.170732,0.160486,0.174041,0.061154,34.0
QAOA,4,16,greedy_critical,next_cycle,16,2,2,,2,5,318.0,189.0,1.68254,1.640265,1.777925,0.169312,0.145001,0.201342,0.105159,34.0
QAOA,4,16,greedy_critical,next_cycle,16,2,2,,4,5,318.0,176.0,1.853403,1.806818,2.082172,0.447205,0.399374,0.480113,0.115838,34.0
QAOA,4,16,greedy_critical,next_cycle,16,2,2,,8,5,318.0,175.0,1.863158,1.817143,2.110991,0.65625,0.622686,0.674286,0.116447,34.0
QAOA,4,16,greedy_critical,next_cycle,16,2,3,,1,5,318.0,332.0,0.967213,0.95213,0.975665,0.175758,0.170065,0.190082,0.060451,34.0
QAOA,4,16,greedy_critical,next_cycle,16,2,3,,2,5,318.0,220.0,1.46281,1.426268,1.600893,0.263636,0.20997,0.271612,0.091426,34.0
QAOA,4,16,greedy_critical,next_cycle,16,2,3,,4,5,318.0,211.0,1.545852,1.507109,1.739088,0.53886,0.498396,0.566351,0.096616,34.0
QAOA,4,16,greedy_critical,next_cycle,16,2,3,,8,5,318.0,210.0,1.552632,1.514286,1.759159,0.713542,0.685572,0.728571,0.097039,34.0
QAOA,4,16,greedy_critical,next_cycle,1,1,1,,1,5,318.0,320.0,0.99375,0.99375,0.994123,0.003125,0.002938,0.003125,0.99375,34.0
QAOA,4,16,greedy_critical,next_cycle,1,1,1,,2,5,318.0,320.0,0.99375,0.99375,0.994123,0.003125,0.002938,0.003125,0.99375,34.0
QAOA,4,16,greedy_critical,next_cycle,1,1,1,,4,5,318.0,320.0,0.99375,0.99375,0.994123,0.003125,0.002938,0.003125,0.99375,34.0
QAOA,4,16,greedy_critical,next_cycle,1,1,1,,8,5,318.0,320.0,0.99375,0.99375,0.994123,0.003125,0.002938,0.003125,0.99375,34.0
QAOA,4,16,greedy_critical,next_cycle,1,1,2,,1,5,318.0,321.0,0.990654,0.990654,0.991211,0.006231,0.005859,0.006231,0.990654,34.0
QAOA,4,16,greedy_critical,next_cycle,1,1,2,,2,5,318.0,321.0,0.990654,0.990654,0.991211,0.006231,0.005859,0.006231,0.990654,34.0
QAOA,4,16,greedy_critical,next_cycle,1,1,2,,4,5,318.0,321.0,0.990654,0.990654,0.991211,0.006231,0.005859,0.006231,0.990654,34.0
QAOA,4,16,greedy_critical,next_cycle,1,1,2,,8,5,318.0,321.0,0.990654,0.990654,0.991211,0.006231,0.005859,0.006231,0.990654,34.0
QAOA,4,16,greedy_critical,next_cycle,1,1,3,,1,5,318.0,322.0,0.987578,0.987578,0.988316,0.009317,0.008763,0.009317,0.987578,34.0
