algorithm,hardware_size,logical_qubits,dag_seed,dag_label,issue_width,meas_width,ff_width,l_meas,l_ff,f_over_w,total_cycles_asap,total_cycles_ff_rate_matched,cycles_ratio_ff_over_asap,throughput_asap,throughput_ff_rate_matched,throughput_gain_pct,stall_rate_asap,stall_rate_ff_rate_matched,stall_rate_delta
QAOA,6,36,1,QAOA_H6_Q36_s1_shifted,8,8,2,1,2,0.250000,801,801,1.000000,1.992509,1.992509,0.000000,0.52809,0.006242,-0.521848
QAOA,6,36,1,QAOA_H6_Q36_s1_shifted,8,8,3,1,2,0.375000,535,535,1.000000,2.983178,2.983178,0.000000,0.35514,0.005607,-0.349533
QAOA,6,36,1,QAOA_H6_Q36_s1_shifted,8,8,4,1,2,0.500000,402,402,1.000000,3.970149,3.970149,0.000000,0.21393,0.007463,-0.206467
QAOA,6,36,2,QAOA_H6_Q36_s2_shifted,16,16,2,1,2,0.125000,828,828,1.000000,1.992754,1.992754,0.000000,0.605072,0.01087,-0.594202
QAOA,6,36,2,QAOA_H6_Q36_s2_shifted,16,16,3,1,2,0.187500,553,553,1.000000,2.983725,2.983725,0.000000,0.459313,0.01085,-0.448463
QAOA,6,36,2,QAOA_H6_Q36_s2_shifted,16,16,4,1,2,0.250000,416,416,1.000000,3.966346,3.966346,0.000000,0.334135,0.012019,-0.322116
QAOA,6,36,2,QAOA_H6_Q36_s2_shifted,4,4,2,1,2,0.500000,828,828,1.000000,1.992754,1.992754,0.000000,0.379227,0.003623,-0.375604
QAOA,6,36,2,QAOA_H6_Q36_s2_shifted,4,4,3,1,2,0.750000,553,553,1.000000,2.983725,2.983725,0.000000,0.169982,0.003617,-0.166365
QAOA,6,36,2,QAOA_H6_Q36_s2_shifted,4,4,4,1,2,1.000000,416,416,1.000000,3.966346,3.966346,0.000000,0.004808,0.004808,0.000000
QAOA,6,36,2,QAOA_H6_Q36_s2_shifted,8,8,2,1,2,0.250000,828,828,1.000000,1.992754,1.992754,0.000000,0.535024,0.006039,-0.528985
QAOA,6,36,2,QAOA_H6_Q36_s2_shifted,8,8,3,1,2,0.375000,553,553,1.000000,2.983725,2.983725,0.000000,0.377939,0.005425,-0.372514
QAOA,6,36,2,QAOA_H6_Q36_s2_shifted,8,8,4,1,2,0.500000,416,416,1.000000,3.966346,3.966346,0.000000,0.245192,0.007212,-0.237980
QAOA,6,36,3,QAOA_H6_Q36_s3_shifted,16,16,2,1,2,0.125000,768,768,1.000000,1.992188,1.992188,0.000000,0.596354,0.011719,-0.584635
QAOA,6,36,3,QAOA_H6_Q36_s3_shifted,16,16,3,1,2,0.187500,513,513,1.000000,2.982456,2.982456,0.000000,0.450292,0.011696,-0.438596
QAOA,6,36,3,QAOA_H6_Q36_s3_shifted,16,16,4,1,2,0.250000,386,386,1.000000,3.963731,3.963731,0.000000,0.321244,0.012953,-0.308291
QAOA,6,36,3,QAOA_H6_Q36_s3_shifted,4,4,2,1,2,0.500000,768,768,1.000000,1.992188,1.992188,0.000000,0.367188,0.003906,-0.363282
QAOA,6,36,3,QAOA_H6_Q36_s3_shifted,4,4,3,1,2,0.750000,513,513,1.000000,2.982456,2.982456,0.000000,0.161793,0.003899,-0.157894
QAOA,6,36,3,QAOA_H6_Q36_s3_shifted,4,4,4,1,2,1.000000,386,386,1.000000,3.963731,3.963731,0.000000,0.005181,0.005181,0.000000
QAOA,6,36,3,QAOA_H6_Q36_s3_shifted,8,8,2,1,2,0.250000,768,768,1.000000,1.992188,1.992188,0.000000,0.526042,0.00651,-0.519532
QAOA,6,36,3,QAOA_H6_Q36_s3_shifted,8,8,3,1,2,0.375000,513,513,1.000000,2.982456,2.982456,0.000000,0.360624,0.005848,-0.354776
QAOA,6,36,3,QAOA_H6_Q36_s3_shifted,8,8,4,1,2,0.500000,386,386,1.000000,3.963731,3.963731,0.000000,0.235751,0.007772,-0.227979
QAOA,6,36,4,QAOA_H6_Q36_s4_shifted,16,16,2,1,2,0.125000,828,828,1.000000,1.992754,1.992754,0.000000,0.619565,0.01087,-0.608695
QAOA,6,36,4,QAOA_H6_Q36_s4_shifted,16,16,3,1,2,0.187500,553,553,1.000000,2.983725,2.983725,0.000000,0.473779,0.01085,-0.462929
QAOA,6,36,4,QAOA_H6_Q36_s4_shifted,16,16,4,1,2,0.250000,416,416,1.000000,3.966346,3.966346,0.000000,0.346154,0.012019,-0.334135
QAOA,6,36,4,QAOA_H6_Q36_s4_shifted,4,4,2,1,2,0.500000,828,828,1.000000,1.992754,1.992754,0.000000,0.379227,0.003623,-0.375604
QAOA,6,36,4,QAOA_H6_Q36_s4_shifted,4,4,3,1,2,0.750000,553,553,1.000000,2.983725,2.983725,0.000000,0.173599,0.003617,-0.169982
QAOA,6,36,4,QAOA_H6_Q36_s4_shifted,4,4,4,1,2,1.000000,416,416,1.000000,3.966346,3.966346,0.000000,0.004808,0.004808,0.000000
QAOA,6,36,4,QAOA_H6_Q36_s4_shifted,8,8,2,1,2,0.250000,828,828,1.000000,1.992754,1.992754,0.000000,0.538647,0.006039,-0.532608
QAOA,6,36,4,QAOA_H6_Q36_s4_shifted,8,8,3,1,2,0.375000,553,553,1.000000,2.983725,2.983725,0.000000,0.37613,0.005425,-0.370705
