algorithm,hardware_size,logical_qubits,dag_variant,policy,release_mode,issue_width,l_meas,l_ff,meas_width,ff_width,n_seeds,total_nodes_median,total_cycles_median,ff_chain_depth_median,throughput_median,throughput_q1,throughput_q3,stall_rate_median,stall_rate_q1,stall_rate_q3,utilization_median,ff_chain_depth_raw_median,ff_chain_depth_shifted_median
QAOA,8,64,shifted,stall_aware_shifted,next_cycle,8,1,2,8,4,5,4962.0,1244.0,2.0,3.988746,3.988538,3.989579,0.463435,0.461661,0.464828,0.498593,142.0,2.0
QAOA,8,64,shifted,stall_aware_shifted,next_cycle,8,1,2,8,5,5,4962.0,996.0,2.0,4.983968,4.98275,4.984847,0.327655,0.326761,0.328435,0.622996,142.0,2.0
QAOA,8,64,shifted,stall_aware_shifted,next_cycle,8,1,2,8,6,5,4962.0,830.0,2.0,5.978313,5.977914,5.978378,0.195678,0.19539,0.19708,0.747289,142.0,2.0
QAOA,8,64,shifted,stall_aware_shifted,next_cycle,8,1,2,8,7,5,4962.0,712.0,2.0,6.965812,6.964583,6.967744,0.067227,0.066572,0.067904,0.870726,142.0,2.0
QAOA,8,64,shifted,stall_aware_shifted,next_cycle,8,1,2,8,8,5,4962.0,624.0,2.0,7.955272,7.951572,7.957889,0.003205,0.003197,0.003266,0.994409,142.0,2.0
QFT,4,16,raw,asap,next_cycle,8,1,2,8,4,5,1232.0,385.0,77.0,3.2,3.2,3.212522,0.098958,0.094805,0.12375,0.4,77.0,7.0
QFT,4,16,raw,asap,next_cycle,8,1,2,8,5,5,1232.0,345.0,77.0,3.571014,3.571014,3.586616,0.198251,0.195652,0.20174,0.446377,77.0,7.0
QFT,4,16,raw,asap,next_cycle,8,1,2,8,6,5,1232.0,325.0,77.0,3.790769,3.784955,3.796619,0.252308,0.244243,0.261952,0.473846,77.0,7.0
QFT,4,16,raw,asap,next_cycle,8,1,2,8,7,5,1232.0,317.0,77.0,3.886435,3.886435,3.886435,0.309148,0.302839,0.315458,0.485804,77.0,7.0
QFT,4,16,raw,asap,next_cycle,8,1,2,8,8,5,1232.0,316.0,77.0,3.898734,3.898734,3.904923,0.338608,0.337558,0.344937,0.487342,77.0,7.0
QFT,4,16,raw,greedy_critical,next_cycle,8,1,2,8,4,5,1232.0,380.0,77.0,3.242105,3.23785,3.250682,0.094488,0.092349,0.123684,0.405263,77.0,7.0
QFT,4,16,raw,greedy_critical,next_cycle,8,1,2,8,5,5,1232.0,341.0,77.0,3.612903,3.612903,3.628874,0.181818,0.170338,0.185287,0.451613,77.0,7.0
QFT,4,16,raw,greedy_critical,next_cycle,8,1,2,8,6,5,1232.0,321.0,77.0,3.838006,3.838006,3.856034,0.266458,0.235534,0.267913,0.479751,77.0,7.0
QFT,4,16,raw,greedy_critical,next_cycle,8,1,2,8,7,5,1232.0,314.0,77.0,3.923567,3.923567,3.923567,0.315287,0.313694,0.328025,0.490446,77.0,7.0
QFT,4,16,raw,greedy_critical,next_cycle,8,1,2,8,8,5,1232.0,314.0,77.0,3.923567,3.923567,3.929835,0.353503,0.347678,0.359873,0.490446,77.0,7.0
QFT,4,16,raw,stall_aware_shifted,next_cycle,8,1,2,8,4,5,1232.0,381.0,77.0,3.233596,3.229363,3.242128,0.13089,0.087926,0.142106,0.404199,77.0,7.0
QFT,4,16,raw,stall_aware_shifted,next_cycle,8,1,2,8,5,5,1232.0,341.0,77.0,3.612903,3.607621,3.63425,0.143695,0.130306,0.156361,0.451613,77.0,7.0
QFT,4,16,raw,stall_aware_shifted,next_cycle,8,1,2,8,6,5,1232.0,322.0,77.0,3.826087,3.820164,3.838043,0.18323,0.174466,0.231068,0.478261,77.0,7.0
QFT,4,16,raw,stall_aware_shifted,next_cycle,8,1,2,8,7,5,1232.0,315.0,77.0,3.911111,3.911111,3.911111,0.234921,0.222222,0.274603,0.488889,77.0,7.0
QFT,4,16,raw,stall_aware_shifted,next_cycle,8,1,2,8,8,5,1232.0,314.0,77.0,3.923567,3.923567,3.929835,0.350318,0.342901,0.36465,0.490446,77.0,7.0
QFT,4,16,shifted,asap,next_cycle,8,1,2,8,4,5,1232.0,314.0,7.0,3.923567,3.911111,3.923567,0.43949,0.404458,0.442857,0.490446,77.0,7.0
QFT,4,16,shifted,asap,next_cycle,8,1,2,8,5,5,1232.0,254.0,7.0,4.850394,4.840884,4.859979,0.317647,0.303741,0.334646,0.606299,77.0,7.0
QFT,4,16,shifted,asap,next_cycle,8,1,2,8,6,5,1232.0,215.0,7.0,5.730233,5.716969,5.757009,0.21028,0.195827,0.22739,0.716279,77.0,7.0
QFT,4,16,shifted,asap,next_cycle,8,1,2,8,7,5,1232.0,186.0,7.0,6.623656,6.588235,6.641558,0.118919,0.112903,0.131016,0.827957,77.0,7.0
QFT,4,16,shifted,asap,next_cycle,8,1,2,8,8,5,1232.0,166.0,7.0,7.421687,7.421687,7.466667,0.036145,0.0272,0.039266,0.927711,77.0,7.0
QFT,4,16,shifted,greedy_critical,next_cycle,8,1,2,8,4,5,1232.0,313.0,7.0,3.936102,3.929835,3.936102,0.440895,0.419456,0.447284,0.492013,77.0,7.0
QFT,4,16,shifted,greedy_critical,next_cycle,8,1,2,8,5,5,1232.0,251.0,7.0,4.908367,4.898628,4.928,0.322709,0.320715,0.325346,0.613546,77.0,7.0
QFT,4,16,shifted,greedy_critical,next_cycle,8,1,2,8,6,5,1232.0,209.0,7.0,5.894737,5.894737,5.894737,0.215311,0.208134,0.215311,0.736842,77.0,7.0
QFT,4,16,shifted,greedy_critical,next_cycle,8,1,2,8,7,5,1232.0,179.0,7.0,6.882682,6.882682,6.882682,0.094972,0.092178,0.094972,0.860335,77.0,7.0
QFT,4,16,shifted,greedy_critical,next_cycle,8,1,2,8,8,5,1232.0,157.0,7.0,7.847134,7.847134,7.847134,0.012739,0.012739,0.012739,0.980892,77.0,7.0
QFT,4,16,shifted,stall_aware_shifted,next_cycle,8,1,2,8,4,5,1232.0,313.0,7.0,3.936102,3.936102,3.94241,0.43131,0.429713,0.436804,0.492013,77.0,7.0
QFT,4,16,shifted,stall_aware_shifted,next_cycle,8,1,2,8,5,5,1232.0,250.0,7.0,4.928,4.918183,4.928,0.332,0.326,0.33333,0.616,77.0,7.0
