algorithm,policy,raw_stall_bucket,raw_saturation_bucket,latency_profile,width_profile,pair_count,throughput_gain_pct_median,gain_positive_count,gain_positive_rate,gain_ge_5_count,gain_ge_5_rate,gain_ge_20_count,gain_ge_20_rate,predicted_gain_band
QAOA,shifted_critical,stall_low,underutilized,l1_l1,W8_M8_F4,10,1.57744,10,1.0,1,0.1,0,0.0,weak
QAOA,shifted_critical,stall_low,underutilized,l2_l2,W8_M8_F4,5,6.193966,5,1.0,3,0.6,0,0.0,weak
QAOA,shifted_critical,stall_low,underutilized,mixed,W8_M8_F4,14,3.507345,14,1.0,2,0.142857,0,0.0,weak
QAOA,shifted_critical,stall_medium,active,l1_l1,W8_M8_F8,1,23.444975,1,1.0,1,1.0,1,1.0,strong
QAOA,shifted_critical,stall_medium,near_saturation,l1_l1,W8_M8_F8,3,13.235298,3,1.0,3,1.0,0,0.0,moderate
QAOA,shifted_critical,stall_medium,near_saturation,l2_l2,W8_M8_F8,3,17.021287,3,1.0,3,1.0,1,0.333333,moderate
QAOA,shifted_critical,stall_medium,near_saturation,mixed,W8_M8_F8,2,9.105432,2,1.0,2,1.0,0,0.0,moderate
QAOA,shifted_critical,stall_medium,underutilized,l1_l1,W8_M8_F4,3,25.609749,3,1.0,3,1.0,2,0.666667,moderate
QAOA,shifted_critical,stall_medium,underutilized,l2_l2,W8_M8_F4,5,17.312652,5,1.0,5,1.0,1,0.2,moderate
QAOA,shifted_critical,stall_medium,underutilized,mixed,W8_M8_F4,8,10.341266,8,1.0,8,1.0,2,0.25,moderate
QAOA,stall_aware_shifted,stall_high,active,l2_l2,W8_M8_F8,4,78.609095,4,1.0,4,1.0,4,1.0,strong
QAOA,stall_aware_shifted,stall_high,active,mixed,W8_M8_F8,10,50.2439,10,1.0,10,1.0,10,1.0,strong
QAOA,stall_aware_shifted,stall_high,underutilized,l1_l1,W8_M8_F4,2,30.688838,2,1.0,2,1.0,2,1.0,strong
QAOA,stall_aware_shifted,stall_high,underutilized,l1_l1,W8_M8_F8,5,142.553207,5,1.0,5,1.0,5,1.0,strong
QAOA,stall_aware_shifted,stall_high,underutilized,l2_l2,W8_M8_F4,5,105.376381,5,1.0,5,1.0,5,1.0,strong
QAOA,stall_aware_shifted,stall_high,underutilized,l2_l2,W8_M8_F8,7,255.555572,7,1.0,7,1.0,7,1.0,strong
QAOA,stall_aware_shifted,stall_high,underutilized,mixed,W8_M8_F4,10,66.304379,10,1.0,10,1.0,10,1.0,strong
QAOA,stall_aware_shifted,stall_high,underutilized,mixed,W8_M8_F8,10,216.666717,10,1.0,10,1.0,10,1.0,strong
QAOA,stall_aware_shifted,stall_low,near_saturation,l1_l1,W8_M8_F8,1,6.220104,1,1.0,1,1.0,0,0.0,moderate
QAOA,stall_aware_shifted,stall_low,near_saturation,l2_l2,W8_M8_F8,1,9.280005,1,1.0,1,1.0,0,0.0,moderate
