algorithm,hardware_size,logical_qubits,tau_ph_us,n_seeds,is_coupled,depth_raw_median,depth_raw_q1,depth_raw_q3,depth_raw_mean,depth_shifted_median,depth_shifted_q1,depth_shifted_q3,depth_reference_kind,depth_reference_median,depth_reference_q1,depth_reference_q3,t_ff_shifted_ns_median,t_ff_shifted_ns_q1,t_ff_shifted_ns_q3,hold_median,hold_q1,hold_q3,meas_median,meas_q1,meas_q3,t_ff_cond_ns_median,t_ff_cond_ns_q1,t_ff_cond_ns_q3,t_hold_ns_median,t_hold_ns_q1,t_hold_ns_q3,t_meas_ns_median,t_meas_ns_q1,t_meas_ns_q3,t_cons_ns_median,t_cons_ns_q1,t_cons_ns_q3,dominant_constraint
VQE,4,16,1.0,5,True,15.0,15.0,15.0,15.0,1.0,1.0,1.0,independent_compiler,90.0,90.0,90.0,1000.0,1000.0,1000.0,27.0,26.5,28.0,26.0,24.5,26.0,66.66666666666667,66.66666666666667,66.66666666666667,37.03703703703704,35.714285714285715,37.749287749287745,38.46153846153846,38.46153846153846,40.83333333333333,37.03703703703704,35.714285714285715,37.749287749287745,hold
VQE,4,16,5.0,5,True,15.0,15.0,15.0,15.0,1.0,1.0,1.0,independent_compiler,90.0,90.0,90.0,5000.0,5000.0,5000.0,27.0,26.5,28.0,26.0,24.5,26.0,333.3333333333333,333.3333333333333,333.3333333333333,185.1851851851852,178.57142857142858,188.74643874643874,192.30769230769232,192.30769230769232,204.16666666666669,185.1851851851852,178.57142857142858,188.74643874643874,hold
VQE,6,36,0.5,5,True,35.0,35.0,35.0,35.0,1.0,1.0,1.0,,,,,500.0,500.0,500.0,33.0,32.0,33.0,137.0,31.0,182.5,14.285714285714286,14.285714285714286,14.285714285714286,15.151515151515152,15.151515151515152,15.625,3.6496350364963503,2.8294573643410854,16.129032258064516,3.6496350364963503,2.8294573643410854,14.285714285714286,measurement
VQE,6,36,1.0,5,True,35.0,35.0,35.0,35.0,1.0,1.0,1.0,,,,,1000.0,1000.0,1000.0,33.0,32.0,33.0,137.0,31.0,182.5,28.571428571428573,28.571428571428573,28.571428571428573,30.303030303030305,30.303030303030305,31.25,7.299270072992701,5.658914728682171,32.25806451612903,7.299270072992701,5.658914728682171,28.571428571428573,measurement
VQE,6,36,5.0,5,True,35.0,35.0,35.0,35.0,1.0,1.0,1.0,,,,,5000.0,5000.0,5000.0,33.0,32.0,33.0,137.0,31.0,182.5,142.85714285714286,142.85714285714286,142.85714285714286,151.5151515151515,151.5151515151515,156.25,36.496350364963504,28.294573643410853,161.29032258064515,36.496350364963504,28.294573643410853,142.85714285714286,measurement
VQE,8,64,0.5,5,True,63.0,63.0,63.0,63.0,1.0,1.0,1.0,,,,,500.0,500.0,500.0,38.0,37.0,38.0,354.0,168.0,1450.0,7.936507936507937,7.936507936507937,7.936507936507937,13.157894736842104,13.157894736842104,13.513513513513514,1.4124293785310735,0.3701134180663335,7.9734219269103,1.4124293785310735,0.3701134180663335,4.798818752307125,measurement
VQE,8,64,1.0,5,True,63.0,63.0,63.0,63.0,1.0,1.0,1.0,,,,,1000.0,1000.0,1000.0,38.0,37.0,38.0,354.0,168.0,1450.0,15.873015873015873,15.873015873015873,15.873015873015873,26.31578947368421,26.31578947368421,27.027027027027028,2.824858757062147,0.740226836132667,15.9468438538206,2.824858757062147,0.740226836132667,9.59763750461425,measurement
VQE,8,64,5.0,5,True,63.0,63.0,63.0,63.0,1.0,1.0,1.0,,,,,5000.0,5000.0,5000.0,38.0,37.0,38.0,354.0,168.0,1450.0,79.36507936507937,79.36507936507937,79.36507936507937,131.57894736842104,131.57894736842104,135.13513513513513,14.124293785310735,3.7011341806633355,79.734219269103,14.124293785310735,3.7011341806633355,47.98818752307125,measurement
VQE,10,36,0.5,5,False,35.0,35.0,35.0,35.0,1.0,1.0,1.0,,,,,500.0,500.0,500.0,27.0,26.0,27.5,25.0,24.5,26.5,14.285714285714286,14.285714285714286,14.285714285714286,18.51851851851852,18.18783068783069,19.23076923076923,20.0,18.874643874643873,20.416666666666664,14.285714285714286,14.285714285714286,14.285714285714286,dependency
VQE,10,36,1.0,5,False,35.0,35.0,35.0,35.0,1.0,1.0,1.0,,,,,1000.0,1000.0,1000.0,27.0,26.0,27.5,25.0,24.5,26.5,28.571428571428573,28.571428571428573,28.571428571428573,37.03703703703704,36.37566137566138,38.46153846153846,40.0,37.749287749287745,40.83333333333333,28.571428571428573,28.571428571428573,28.571428571428573,dependency
VQE,10,36,5.0,5,False,35.0,35.0,35.0,35.0,1.0,1.0,1.0,,,,,5000.0,5000.0,5000.0,27.0,26.0,27.5,25.0,24.5,26.5,142.85714285714286,142.85714285714286,142.85714285714286,185.1851851851852,181.8783068783069,192.30769230769232,200.0,188.74643874643874,204.16666666666669,142.85714285714286,142.85714285714286,142.85714285714286,dependency
VQE,10,64,0.5,5,False,63.0,63.0,63.0,63.0,1.0,1.0,1.0,,,,,500.0,500.0,500.0,34.0,31.0,37.0,35.0,32.5,571.5,7.936507936507937,7.936507936507937,7.936507936507937,14.705882352941176,13.523391812865498,16.129032258064516,14.285714285714286,0.9320264848820901,15.476190476190478,7.936507936507937,0.9320264848820901,7.936507936507937,dependency
VQE,10,64,1.0,5,False,63.0,63.0,63.0,63.0,1.0,1.0,1.0,,,,,1000.0,1000.0,1000.0,34.0,31.0,37.0,35.0,32.5,571.5,15.873015873015873,15.873015873015873,15.873015873015873,29.41176470588235,27.046783625730995,32.25806451612903,28.571428571428573,1.8640529697641801,30.952380952380956,15.873015873015873,1.8640529697641801,15.873015873015873,dependency
VQE,10,64,5.0,5,False,63.0,63.0,63.0,63.0,1.0,1.0,1.0,,,,,5000.0,5000.0,5000.0,34.0,31.0,37.0,35.0,32.5,571.5,79.36507936507937,79.36507936507937,79.36507936507937,147.05882352941177,135.23391812865498,161.29032258064515,142.85714285714286,9.320264848820901,154.76190476190476,79.36507936507937,9.320264848820901,79.36507936507937,dependency
VQE,10,100,0.5,5,True,99.0,99.0,99.0,99.0,1.0,1.0,1.0,,,,,500.0,500.0,500.0,43.0,41.0,47.5,928.0,436.0,2940.5,5.05050505050505,5.05050505050505,5.05050505050505,11.627906976744185,10.583778966131907,12.202380952380953,0.5387931034482759,0.17626183211121932,1.6107580907344465,0.5387931034482759,0.17626183211121932,1.6107580907344465,measurement
VQE,10,100,1.0,5,True,99.0,99.0,99.0,99.0,1.0,1.0,1.0,,,,,1000.0,1000.0,1000.0,43.0,41.0,47.5,928.0,436.0,2940.5,10.1010101010101,10.1010101010101,10.1010101010101,23.25581395348837,21.167557932263815,24.404761904761905,1.0775862068965518,0.35252366422243864,3.221516181468893,1.0775862068965518,0.35252366422243864,3.221516181468893,measurement
VQE,10,100,5.0,5,True,99.0,99.0,99.0,99.0,1.0,1.0,1.0,,,,,5000.0,5000.0,5000.0,43.0,41.0,47.5,928.0,436.0,2940.5,50.505050505050505,50.505050505050505,50.505050505050505,116.27906976744185,105.83778966131908,122.02380952380952,5.387931034482759,1.762618321112193,16.107580907344467,5.387931034482759,1.762618321112193,16.107580907344467,measurement
VQE,12,64,0.5,5,False,63.0,63.0,63.0,63.0,1.0,1.0,1.0,,,,,500.0,500.0,500.0,32.0,30.5,34.0,177.0,78.0,389.5,7.936507936507937,7.936507936507937,7.936507936507937,15.625,14.71861471861472,16.397849462365592,2.824858757062147,1.3222394220846234,6.964285714285714,2.824858757062147,1.3222394220846234,6.468253968253968,measurement
VQE,12,64,1.0,5,False,63.0,63.0,63.0,63.0,1.0,1.0,1.0,,,,,1000.0,1000.0,1000.0,32.0,30.5,34.0,177.0,78.0,389.5,15.873015873015873,15.873015873015873,15.873015873015873,31.25,29.43722943722944,32.795698924731184,5.649717514124294,2.644478844169247,13.928571428571429,5.649717514124294,2.644478844169247,12.936507936507937,measurement
VQE,12,64,5.0,5,False,63.0,63.0,63.0,63.0,1.0,1.0,1.0,,,,,5000.0,5000.0,5000.0,32.0,30.5,34.0,177.0,78.0,389.5,79.36507936507937,79.36507936507937,79.36507936507937,156.25,147.1861471861472,163.9784946236559,28.24858757062147,13.222394220846233,69.64285714285714,28.24858757062147,13.222394220846233,64.68253968253968,measurement
