dag_variant,algorithm,policy,latency_profile,width_profile,observation_count,unique_seed_count,throughput_median,stall_rate_median,utilization_median
shifted,VQE,asap,mixed,W8_M8_F4,30,5,3.963303,0.434251,0.495413
shifted,VQE,asap,mixed,W8_M8_F8,30,5,7.854545,0.012121,0.981818
shifted,VQE,greedy_critical,l1_l1,W8_M8_F4,15,5,3.97546,0.432515,0.496933
shifted,VQE,greedy_critical,l1_l1,W8_M8_F8,15,5,7.902439,0.006098,0.987805
shifted,VQE,greedy_critical,l2_l2,W8_M8_F4,15,5,3.95122,0.435976,0.493902
shifted,VQE,greedy_critical,l2_l2,W8_M8_F8,15,5,7.760479,0.017964,0.97006
shifted,VQE,greedy_critical,mixed,W8_M8_F4,30,5,3.963303,0.434251,0.495413
shifted,VQE,greedy_critical,mixed,W8_M8_F8,30,5,7.854545,0.012121,0.981818
shifted,VQE,regime_switch,l1_l1,W8_M8_F4,15,5,3.97546,0.496933,0.496933
shifted,VQE,regime_switch,l1_l1,W8_M8_F8,15,5,7.902439,0.006098,0.987805
shifted,VQE,regime_switch,l2_l2,W8_M8_F4,15,5,3.95122,0.496951,0.493902
shifted,VQE,regime_switch,l2_l2,W8_M8_F8,15,5,7.760479,0.017964,0.97006
shifted,VQE,regime_switch,mixed,W8_M8_F4,30,5,3.963303,0.498471,0.495413
shifted,VQE,regime_switch,mixed,W8_M8_F8,30,5,7.854545,0.012121,0.981818
shifted,VQE,shifted_critical,l1_l1,W8_M8_F4,15,5,3.97546,0.496933,0.496933
shifted,VQE,shifted_critical,l1_l1,W8_M8_F8,15,5,7.902439,0.006098,0.987805
shifted,VQE,shifted_critical,l2_l2,W8_M8_F4,15,5,3.95122,0.496951,0.493902
shifted,VQE,shifted_critical,l2_l2,W8_M8_F8,15,5,7.760479,0.017964,0.97006
shifted,VQE,shifted_critical,mixed,W8_M8_F4,30,5,3.963303,0.498471,0.495413
shifted,VQE,shifted_critical,mixed,W8_M8_F8,30,5,7.854545,0.012121,0.981818
shifted,VQE,stall_aware_shifted,l1_l1,W8_M8_F4,15,5,3.97546,0.496933,0.496933
shifted,VQE,stall_aware_shifted,l1_l1,W8_M8_F8,15,5,7.902439,0.006098,0.987805
shifted,VQE,stall_aware_shifted,l2_l2,W8_M8_F4,15,5,3.95122,0.496951,0.493902
shifted,VQE,stall_aware_shifted,l2_l2,W8_M8_F8,15,5,7.760479,0.017964,0.97006
shifted,VQE,stall_aware_shifted,mixed,W8_M8_F4,30,5,3.963303,0.498471,0.495413
shifted,VQE,stall_aware_shifted,mixed,W8_M8_F8,30,5,7.854545,0.012121,0.981818
